target,n_trees,strategy,service_time_min,t_max_h,seed,time_limit_sec,k,balance,total_travel_time_sec,route_time_mean_sec,route_time_std_sec,routes_over_t_max,dropped_trees,sum_max_radius_m,interleave_total,interleave_per_route,worst_pair_iou,cost_matrix.total,cost_matrix.cache_lookup,cost_matrix.osrm_fetch,cost_matrix.chunk_assembly,model_build.total,solve.total,solve.first_solution,solve.metaheuristic,solution_extraction.total,metrics.total,pipeline_total
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,42,120,24,0.864957975431791,56830,10402,413,1,0,21570,2333,97.21,0.42,0.613,0.613,0.0,0.0,0.005,120.001,1.404,118.598,0.006,0.017,120.642
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,43,120,24,0.864957975431791,56830,10402,413,1,0,21570,2333,97.21,0.42,0.614,0.614,0.0,0.0,0.003,120.002,1.357,118.644,0.007,0.018,120.643
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,44,120,24,0.864957975431791,56830,10402,415,1,0,21578,2333,97.21,0.42,0.619,0.619,0.0,0.0,0.003,119.984,1.397,118.587,0.006,0.017,120.63
