source,external_id,lat,lon,species
legacy_api,747,-33.4097717,-70.5422033,
legacy_api,748,-33.4098117,-70.5421867,
legacy_api,750,-33.4100765,-70.5420637,
legacy_api,751,-33.4113701,-70.5415242,
legacy_api,752,-33.4121417,-70.5412583,
legacy_api,753,-33.4124034,-70.5411318,
legacy_api,755,-33.4139318,-70.5403191,
legacy_api,756,-33.41423,-70.5402383,
legacy_api,758,-33.414645,-70.5399283,
legacy_api,759,-33.41476,-70.5398933,
legacy_api,760,-33.4149017,-70.53985,
legacy_api,762,-33.4155077,-70.5395698,
legacy_api,763,-33.4155892,-70.5395364,
legacy_api,951,-33.4098853,-70.5421543,
legacy_api,952,-33.4099018,-70.5421699,
legacy_api,953,-33.4102262,-70.5420266,
legacy_api,954,-33.4122167,-70.5412217,
legacy_api,955,-33.4133612,-70.5406939,
legacy_api,956,-33.4148599,-70.539885,
legacy_api,957,-33.4157233,-70.5394867,
