source,external_id,lat,lon,species
legacy_api,886,-33.3994063,-70.5542408,
legacy_api,887,-33.3994182,-70.5547171,
legacy_api,888,-33.399305056574434,-70.55475591902443,
legacy_api,889,-33.399311125948465,-70.55436846392983,
legacy_api,890,-33.399334214905956,-70.55457012824753,
legacy_api,891,-33.3994745,-70.554094,
legacy_api,892,-33.3995671,-70.5541718,
legacy_api,893,-33.3994759,-70.5537811,
legacy_api,894,-33.3995406,-70.5537768,
legacy_api,895,-33.3996306,-70.5535678,
legacy_api,896,-33.399875,-70.5535205,
legacy_api,897,-33.399347,-70.5535018,
legacy_api,898,-33.3992088,-70.5534107,
legacy_api,899,-33.3990163,-70.5533827,
legacy_api,900,-33.3989624,-70.5532108,
legacy_api,901,-33.3993,-70.5536587,
legacy_api,902,-33.3991009,-70.5533066,
legacy_api,903,-33.3991061,-70.5532574,
legacy_api,904,-33.3991594,-70.5533361,
legacy_api,905,-33.398917,-70.5531243,
legacy_api,906,-33.40101143308829,-70.55494235042514,
legacy_api,909,-33.3947343,-70.5505091,
legacy_api,910,-33.3943336,-70.5506816,
legacy_api,911,-33.3944313,-70.5506417,
legacy_api,912,-33.394496,-70.5506128,
legacy_api,913,-33.3946146,-70.5505897,
legacy_api,914,-33.3945775,-70.550735,
legacy_api,915,-33.3947997,-70.5509315,
legacy_api,916,-33.3945031,-70.5513454,
legacy_api,917,-33.3950489,-70.5506718,
legacy_api,918,-33.3949526,-70.5509226,
legacy_api,919,-33.3948786,-70.5509931,
legacy_api,920,-33.3951259,-70.5509209,
legacy_api,921,-33.3941345,-70.5501828,
legacy_api,922,-33.3943064,-70.550515,
legacy_api,923,-33.3944065,-70.5504804,
legacy_api,924,-33.3944833,-70.550446,
legacy_api,925,-33.394444,-70.5515487,
legacy_api,926,-33.3944281,-70.551616,
legacy_api,927,-33.3941439,-70.5518411,
legacy_api,928,-33.3941771,-70.5515553,
legacy_api,929,-33.3937622,-70.5517149,
legacy_api,930,-33.3936881,-70.55184,
legacy_api,931,-33.3937093,-70.5517591,
legacy_api,932,-33.393794,-70.5518924,
legacy_api,933,-33.3943693,-70.5517656,
legacy_api,934,-33.3937311,-70.5518947,
legacy_api,935,-33.393633,-70.5518204,
legacy_api,936,-33.3936434,-70.5519672,
legacy_api,937,-33.3936778,-70.5518991,
legacy_api,938,-33.3934509,-70.551886,
legacy_api,939,-33.3935334,-70.5518938,
legacy_api,940,-33.3932865,-70.5520318,
legacy_api,941,-33.3929644,-70.5519027,
legacy_api,991,-33.3943496,-70.5503999,
legacy_api,1000,-33.3994154,-70.5547417,
legacy_api,1001,-33.3993734,-70.554669,
legacy_api,1002,-33.3994355,-70.5540838,
legacy_api,1003,-33.39942183839299,-70.55429269772183,
legacy_api,1004,-33.3994644,-70.553865,
legacy_api,1005,-33.3994192,-70.553523,
legacy_api,1006,-33.399754,-70.5536207,
legacy_api,1007,-33.3999854,-70.5534908,
legacy_api,1008,-33.3992464,-70.5534829,
legacy_api,1009,-33.3993488,-70.5534394,
legacy_api,1010,-33.3941233,-70.5515309,
legacy_api,1011,-33.4012464,-70.5547443,
legacy_api,1012,-33.3947375,-70.550614,
legacy_api,1013,-33.3945408,-70.5505699,
legacy_api,1014,-33.3939812,-70.5516869,
legacy_api,1015,-33.3936612,-70.5519893,
legacy_api,1016,-33.3927465,-70.5519981,
