source,external_id,lat,lon,species
legacy_api,743,-33.400507,-70.5557316,
legacy_api,746,-33.4153506,-70.5599023,
legacy_api,749,-33.4006352,-70.5556217,
legacy_api,754,-33.4006805,-70.5555181,
legacy_api,757,-33.4003325,-70.5553335,
legacy_api,761,-33.4004274,-70.5556318,
legacy_api,764,-33.4002498,-70.5555631,
legacy_api,765,-33.4003602,-70.5556753,
legacy_api,766,-33.4003669,-70.5558858,
legacy_api,767,-33.4004633,-70.55566,
legacy_api,768,-33.4002072,-70.5558254,
legacy_api,769,-33.4004113,-70.5557248,
legacy_api,770,-33.4002591,-70.5558283,
legacy_api,771,-33.4000314,-70.5559257,
legacy_api,772,-33.4000811,-70.5558949,
legacy_api,773,-33.4000656,-70.5559082,
legacy_api,774,-33.3999824,-70.5559607,
legacy_api,775,-33.3999139,-70.5559941,
legacy_api,776,-33.3999015,-70.555935,
legacy_api,777,-33.3999909,-70.5559421,
legacy_api,778,-33.3998389,-70.5559779,
legacy_api,779,-33.3998443,-70.5559301,
legacy_api,780,-33.3998286,-70.5560004,
legacy_api,781,-33.3998941,-70.5558985,
legacy_api,782,-33.3993197,-70.5562109,
legacy_api,783,-33.3992806,-70.5563113,
legacy_api,784,-33.3992711,-70.5563403,
legacy_api,785,-33.3993897,-70.5557675,
legacy_api,786,-33.3993049,-70.5562249,
legacy_api,787,-33.3991023,-70.5563944,
legacy_api,788,-33.3992724,-70.556386,
legacy_api,789,-33.3990793,-70.5562879,
legacy_api,790,-33.3991995,-70.5565064,
legacy_api,791,-33.3993305,-70.556062,
legacy_api,792,-33.3990414,-70.5560799,
legacy_api,793,-33.3994078,-70.5558064,
legacy_api,794,-33.3989287,-70.5559714,
legacy_api,795,-33.3989129,-70.5558495,
legacy_api,796,-33.3990182,-70.555837,
legacy_api,797,-33.3988514,-70.5558945,
legacy_api,798,-33.3987864,-70.5558771,
legacy_api,807,-33.4162915,-70.5571619,
legacy_api,808,-33.4163945,-70.5571319,
legacy_api,809,-33.4163701,-70.5570554,
legacy_api,810,-33.416229,-70.5587404,
legacy_api,811,-33.4160676,-70.5587404,
legacy_api,812,-33.4160687,-70.5592249,
legacy_api,813,-33.4160369,-70.5592153,
legacy_api,814,-33.4159932,-70.5592491,
legacy_api,815,-33.4158459,-70.5597677,
legacy_api,816,-33.4158324,-70.5597387,
legacy_api,817,-33.4157768,-70.5597464,
legacy_api,818,-33.4157501,-70.559722,
legacy_api,819,-33.4155667,-70.5596849,
legacy_api,820,-33.4152824,-70.5597225,
legacy_api,821,-33.4154857,-70.5598209,
legacy_api,822,-33.4151673,-70.5594714,
legacy_api,823,-33.4152495,-70.5596203,
legacy_api,824,-33.4147182,-70.559429,
legacy_api,825,-33.4153912,-70.5600609,
legacy_api,826,-33.4139826,-70.55929,
legacy_api,827,-33.4144878,-70.5590581,
legacy_api,828,-33.4143898,-70.5590253,
legacy_api,829,-33.4144585,-70.5590367,
legacy_api,830,-33.4141152,-70.5590943,
legacy_api,831,-33.4141353,-70.5590711,
legacy_api,832,-33.414044,-70.5592346,
legacy_api,833,-33.4138993,-70.5596835,
legacy_api,834,-33.4140375,-70.5592662,
legacy_api,835,-33.4138332,-70.5601946,
legacy_api,836,-33.4138434,-70.560256,
legacy_api,837,-33.4138431,-70.5585572,
legacy_api,838,-33.4140069,-70.5587765,
legacy_api,839,-33.4140926,-70.5589699,
legacy_api,840,-33.4141988,-70.5590491,
legacy_api,842,-33.4141985,-70.5590733,
legacy_api,843,-33.4140593,-70.5588977,
legacy_api,844,-33.414333,-70.5583619,
legacy_api,866,-33.40012060798048,-70.56809412150496,
legacy_api,867,-33.39787713454923,-70.56840696130801,
legacy_api,868,-33.39788767440622,-70.56813149536038,
legacy_api,869,-33.39743015289364,-70.56803433231725,
legacy_api,871,-33.39738758504374,-70.56572382934692,
legacy_api,872,-33.397651614160544,-70.56509864926316,
legacy_api,874,-33.39808858648963,-70.56507418385965,
legacy_api,878,-33.39650767438089,-70.5625698771473,
legacy_api,886,-33.3994063,-70.5542408,
legacy_api,887,-33.3994182,-70.5547171,
legacy_api,888,-33.399305056574434,-70.55475591902443,
legacy_api,889,-33.399311125948465,-70.55436846392983,
legacy_api,890,-33.399334214905956,-70.55457012824753,
legacy_api,891,-33.3994745,-70.554094,
legacy_api,892,-33.3995671,-70.5541718,
legacy_api,893,-33.3994759,-70.5537811,
legacy_api,894,-33.3995406,-70.5537768,
legacy_api,895,-33.3996306,-70.5535678,
legacy_api,896,-33.399875,-70.5535205,
legacy_api,897,-33.399347,-70.5535018,
legacy_api,898,-33.3992088,-70.5534107,
legacy_api,899,-33.3990163,-70.5533827,
legacy_api,900,-33.3989624,-70.5532108,
legacy_api,901,-33.3993,-70.5536587,
legacy_api,902,-33.3991009,-70.5533066,
legacy_api,903,-33.3991061,-70.5532574,
legacy_api,904,-33.3991594,-70.5533361,
legacy_api,905,-33.398917,-70.5531243,
legacy_api,906,-33.40101143308829,-70.55494235042514,
legacy_api,909,-33.3947343,-70.5505091,
legacy_api,910,-33.3943336,-70.5506816,
legacy_api,911,-33.3944313,-70.5506417,
legacy_api,912,-33.394496,-70.5506128,
legacy_api,913,-33.3946146,-70.5505897,
legacy_api,914,-33.3945775,-70.550735,
legacy_api,915,-33.3947997,-70.5509315,
legacy_api,916,-33.3945031,-70.5513454,
legacy_api,917,-33.3950489,-70.5506718,
legacy_api,918,-33.3949526,-70.5509226,
legacy_api,919,-33.3948786,-70.5509931,
legacy_api,920,-33.3951259,-70.5509209,
legacy_api,921,-33.3941345,-70.5501828,
legacy_api,922,-33.3943064,-70.550515,
legacy_api,923,-33.3944065,-70.5504804,
