instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,2,1,7,,1,1,per-start,105,2,0,0,8389,0.998,6,7189,7194,7200,4,0.222,17.0,0.583,0.667,0.278,6365,1975,6414,8400,105.07,0.001,0.005,0.01,104.992,0.0
battery-n50,50,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,2,1,7,,2,1,per-start,105,2,0,0,8398,0.998,8,7191,7199,7207,6,0.195,16.5,0.583,0.667,0.278,6374,1975,6423,8400,105.03,0.003,0.003,0.009,104.991,0.0
battery-n50,50,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,2,1,7,,3,1,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.03,0.002,0.003,0.009,104.99,0.0
battery-n50,50,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,2,1,7,,4,1,per-start,105,2,0,0,8399,0.997,10,7190,7200,7209,4,0.203,20.0,0.583,0.667,0.278,6375,1975,6424,8400,105.04,0.004,0.008,0.009,104.991,0.0
battery-n50,50,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,2,1,7,,5,1,per-start,105,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.05,0.001,0.004,0.012,104.987,0.0
battery-n100,100,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,2,2,4,,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.04,0.003,0.008,0.023,119.977,0.0
battery-n100,100,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,2,2,4,,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.05,0.004,0.008,0.024,119.977,0.001
battery-n100,100,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,2,2,4,,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.03,0.004,0.01,0.023,119.957,0.001
battery-n100,100,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,2,2,4,,4,1,per-start,120,2,0,0,4199,0.826,772,7328,8100,8871,4,0.049,5.0,0.259,0.75,0.556,1739,2601,1598,2400,120.04,0.003,0.008,0.023,119.977,0.001
battery-n100,100,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,2,2,4,,5,1,per-start,120,2,0,0,4321,0.955,188,7973,8160,8348,3,0.017,3.0,0.265,0.756,0.556,1861,2601,1720,2400,120.05,0.003,0.009,0.025,119.98,0.0
battery-n200,200,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,2,3,3,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.1,0.01,0.03,0.076,119.925,0.001
battery-n200,200,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,2,3,3,,2,1,per-start,120,4,0,0,8550,0.885,426,7569,8215,8551,6,0.169,18.75,0.263,0.754,0.556,5072,4541,4009,4800,120.11,0.012,0.035,0.076,119.923,0.001
battery-n200,200,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,2,3,3,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.11,0.012,0.032,0.071,119.929,0.001
battery-n200,200,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,2,3,3,,4,1,per-start,120,4,0,0,7914,0.84,571,7221,8047,8599,4,0.292,34.5,0.248,0.739,0.556,4436,4541,3373,4800,120.12,0.01,0.042,0.08,119.921,0.001
battery-n200,200,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,2,3,3,,5,1,per-start,120,4,0,0,7954,0.899,323,7666,7881,8526,1,0.099,19.75,0.249,0.74,0.556,4476,4541,3413,4800,120.11,0.011,0.033,0.075,119.923,0.001
battery-n400,400,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,2,6,3,,1,1,per-start,120,7,0,0,12626,0.879,462,7888,8941,8976,6,0.394,46.0,0.208,0.802,0.635,7108,7314,5312,3600,120.32,0.045,0.135,0.258,119.754,0.002
battery-n400,400,config,cluster-r2,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,2,6,3,,2,1,per-start,120,7,0,0,12797,0.886,321,7948,8811,8972,3,0.291,24.57,0.21,0.804,0.635,7279,7314,5483,2640,120.29,0.049,0.136,0.267,119.734,0.002
