instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n200,200,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,59.0,1,4,0,0,7887,0.809,648,6985,8136,8630,2,0.092,9.25,0.247,0.738,0.556,4409,4541,3346,4801,120.11,0.014,0.033,0.088,119.913,0.001
battery-n200,200,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,59.0,2,4,0,0,8026,0.724,950,6686,8050,9239,4,0.18,18.75,0.251,0.741,0.556,4548,4541,3485,4800,120.11,0.012,0.032,0.089,119.913,0.001
battery-n200,200,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,59.0,3,4,0,0,8137,0.651,1375,6532,7782,10040,3,0.048,3.0,0.253,0.744,0.556,4659,4541,3596,4800,120.1,0.011,0.031,0.08,119.922,0.001
battery-n200,200,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,59.0,4,4,0,0,8542,0.766,794,6811,8419,8893,5,0.302,14.0,0.262,0.753,0.556,5064,4541,4001,4800,120.11,0.013,0.034,0.079,119.923,0.001
battery-n200,200,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,59.0,5,4,0,0,8072,0.835,583,7133,8196,8547,6,0.099,16.5,0.252,0.742,0.556,4594,4541,3531,4801,120.13,0.012,0.034,0.088,119.913,0.002
battery-n400,400,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,46.7,1,6,0,0,13066,0.911,282,9644,10229,10590,8,0.545,47.5,0.214,0.943,0.741,7534,7477,5589,120,120.32,0.044,0.13,0.284,119.681,0.002
battery-n400,400,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,46.7,2,6,0,0,12871,0.821,696,8827,10544,10748,8,0.17,15.17,0.211,0.939,0.741,7339,7477,5394,960,120.28,0.036,0.129,0.285,119.715,0.002
battery-n400,400,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,46.7,3,6,0,0,13451,0.874,468,9411,10442,10765,4,0.314,23.5,0.219,0.948,0.741,7919,7477,5974,120,120.29,0.041,0.127,0.283,119.718,0.002
battery-n400,400,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,46.7,4,6,0,0,13244,0.874,459,9308,10332,10649,7,0.515,39.0,0.216,0.945,0.741,7712,7477,5767,0,120.32,0.043,0.125,0.274,119.755,0.002
battery-n400,400,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,46.7,5,6,0,0,12757,0.821,638,8827,10356,10751,4,0.336,51.83,0.21,0.938,0.741,7225,7477,5280,960,120.34,0.047,0.145,0.294,119.707,0.002
battery-n800,800,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,35.4,1,12,0,0,22531,0.717,1058,7698,10524,10732,1,0.56,82.08,0.19,0.915,0.741,13568,12392,10139,3120,121.1,0.187,0.552,0.995,119.136,0.004
battery-n800,800,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,35.4,2,12,0,0,22409,0.678,1020,7272,10280,10723,3,0.326,56.75,0.189,0.914,0.741,13446,12392,10017,3361,121.05,0.207,0.585,1.011,118.992,0.004
battery-n800,800,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,35.4,3,12,0,0,21037,0.752,871,8084,9960,10744,3,0.245,23.92,0.18,0.903,0.741,12074,12392,8645,1920,120.98,0.184,0.551,0.944,119.059,0.004
battery-n800,800,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,35.4,4,12,0,0,22259,0.664,1009,7093,10232,10683,2,0.365,56.67,0.188,0.913,0.741,13296,12392,9867,2520,121.08,0.189,0.555,0.954,119.124,0.004
