instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,2,3,total,40,3,0,0,4260,0.794,761,6937,7425,8738,0,0.034,3.67,0.184,0.713,0.581,1877,3618,642,2760,120.06,0.009,0.071,0.196,119.712,0.003
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,2,3,total,40,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.06,0.002,0.017,0.066,119.935,0.001
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,2,3,total,31,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,93.04,0.002,0.009,0.03,92.972,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,2,3,total,40,25,0,0,63662,0.717,720,7701,10494,10744,27,0.375,69.08,0.248,0.95,0.714,36606,30823,32839,11401,130.02,0.89,8.229,13.016,106.998,0.03
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,3,3,total,35,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.16,0.002,0.011,0.042,105.028,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,3,3,total,40,2,0,0,4256,0.652,1713,6415,8128,9841,0,0.03,5.0,0.262,0.752,0.556,1796,2601,1655,2400,120.09,0.004,0.036,0.102,119.909,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,3,3,total,40,4,0,0,8377,0.667,1302,6664,7858,9997,1,0.088,6.75,0.259,0.75,0.556,4899,4541,3836,4800,120.22,0.016,0.128,0.282,119.715,0.004
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,3,3,total,40,6,0,0,13316,0.846,621,9087,10533,10747,3,0.487,14.67,0.217,0.946,0.741,7784,7477,5839,0,120.72,0.056,0.505,0.965,119.04,0.008
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,3,3,total,40,12,0,0,23081,0.641,1194,6881,10438,10729,20,0.325,48.17,0.194,0.919,0.741,14118,12392,10689,3840,122.67,0.236,2.067,3.395,116.616,0.013
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,3,3,total,40,15,0,0,29871,0.607,1069,6533,10401,10765,22,0.371,79.13,0.199,0.925,0.741,18919,15438,14433,2880,124.0,0.365,3.211,5.128,114.882,0.017
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,3,3,total,40,5,0,0,16166,0.674,1220,6882,9668,10211,1,0.167,13.2,0.35,0.855,0.556,7756,11132,5034,6000,120.35,0.021,0.198,0.412,119.591,0.004
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,3,3,total,40,8,0,0,22561,0.96,137,10118,10362,10539,3,0.131,31.38,0.273,0.956,0.694,13099,13517,9044,840,121.08,0.09,0.784,1.464,118.542,0.008
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,3,3,total,40,3,0,0,4436,0.838,559,7036,7840,8399,1,0.048,4.0,0.191,0.718,0.581,2053,3618,818,2761,120.06,0.009,0.075,0.199,119.709,0.003
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,3,3,total,40,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.06,0.003,0.02,0.067,119.934,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,3,3,total,31,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,93.04,0.002,0.007,0.03,92.972,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,3,3,total,40,25,0,1,61426,0.712,851,7655,10498,10758,31,0.45,82.04,0.242,0.942,0.714,34370,30823,30603,12120,130.02,0.874,8.275,13.268,106.747,0.027
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,4,3,total,35,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.17,0.002,0.016,0.039,105.031,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,4,3,total,40,2,0,0,4173,0.66,1654,6433,8086,9740,0,0.03,5.0,0.258,0.749,0.556,1713,2601,1572,2400,120.1,0.004,0.031,0.094,119.916,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,4,3,total,40,4,0,0,7837,0.777,775,6669,8290,8588,2,0.065,6.5,0.246,0.737,0.556,4359,4541,3296,4800,120.21,0.014,0.115,0.273,119.724,0.004
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,4,3,total,40,6,0,0,12906,0.822,643,8837,10234,10757,4,0.365,48.0,0.212,0.94,0.741,7374,7477,5429,960,120.73,0.06,0.501,0.972,119.032,0.007
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,4,3,total,40,12,0,0,23796,0.799,705,8599,10086,10760,32,0.348,83.83,0.199,0.924,0.741,14833,12392,11404,1080,122.56,0.221,1.971,3.425,116.583,0.018
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,4,3,total,40,15,0,0,29120,0.633,1072,6814,10406,10764,16,0.403,87.53,0.195,0.921,0.741,18168,15438,13682,2160,123.95,0.353,3.201,5.116,114.895,0.017
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,4,3,total,40,5,0,0,15284,0.643,1302,6896,9066,10731,2,0.166,8.0,0.338,0.839,0.556,6874,11132,4152,6000,120.35,0.021,0.2,0.42,119.584,0.005
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,4,3,total,40,8,0,0,21287,0.866,422,9312,10196,10752,3,0.567,37.25,0.262,0.941,0.694,11825,13517,7770,840,121.07,0.089,0.782,1.393,118.613,0.008
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,4,3,total,40,3,0,0,4250,0.793,764,6926,7426,8738,0,0.034,3.67,0.184,0.713,0.581,1867,3618,632,2760,120.06,0.008,0.073,0.192,119.716,0.003
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,4,3,total,40,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.06,0.002,0.018,0.063,119.938,0.001
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,4,3,total,31,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,93.04,0.002,0.008,0.03,92.971,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,4,3,total,40,25,0,1,62245,0.63,956,6787,10559,10768,31,0.446,76.0,0.244,0.945,0.714,35189,30823,31422,13320,129.83,0.862,8.084,12.893,107.133,0.027
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,5,3,total,35,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.17,0.004,0.014,0.036,105.033,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,5,3,total,40,2,0,0,4218,0.648,1735,6374,8109,9844,3,0.03,5.0,0.26,0.75,0.556,1758,2601,1617,2400,120.09,0.005,0.033,0.094,119.915,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,5,3,total,40,4,0,0,8088,0.81,713,7207,7990,8902,2,0.074,4.25,0.252,0.742,0.556,4610,4541,3547,4800,120.22,0.015,0.121,0.273,119.721,0.004
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,5,3,total,40,6,0,0,12499,0.833,593,8837,10239,10614,5,0.101,7.67,0.207,0.934,0.741,6967,7477,5022,960,120.74,0.06,0.506,0.926,119.079,0.008
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,5,3,total,40,12,0,0,23732,0.649,1031,6980,10398,10750,25,0.347,55.83,0.198,0.924,0.741,14769,12392,11340,2760,122.64,0.239,2.031,3.269,116.741,0.013
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,5,3,total,40,15,0,0,29054,0.734,873,7888,10210,10749,24,0.452,87.6,0.195,0.92,0.741,18102,15438,13616,3480,123.89,0.364,3.115,5.079,114.932,0.017
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,5,3,total,40,5,0,0,16060,0.617,1598,6623,10050,10736,0,0.088,14.0,0.349,0.853,0.556,7650,11132,4928,6120,120.37,0.023,0.2,0.42,119.583,0.004
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,5,3,total,40,8,0,0,22088,0.879,368,9371,10369,10663,0,0.295,36.38,0.269,0.95,0.694,12626,13517,8571,1080,121.07,0.087,0.78,1.406,118.6,0.009
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,5,3,total,40,3,0,0,4419,0.838,572,6970,7967,8322,0,0.048,4.0,0.19,0.718,0.581,2036,3618,801,2760,120.06,0.009,0.076,0.192,119.715,0.003
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,5,3,total,40,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.06,0.003,0.016,0.061,119.939,0.001
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,5,3,total,31,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,93.04,0.004,0.008,0.029,92.973,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,5,3,total,40,25,0,1,65350,0.699,755,7519,10669,10762,44,0.384,75.92,0.253,0.956,0.714,38294,30823,34527,12360,130.03,0.936,8.13,12.553,107.474,0.036
