route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,7,7315,2100,5215,0.713,0,0.677,0
2,10,7419,3000,4419,0.596,0,0.687,0
3,8,7222,2400,4822,0.668,0,0.669,0
4,9,7229,2700,4529,0.627,0,0.669,0
5,6,7209,1800,5409,0.75,0,0.667,0
summary,40,36394,12000,24394,0.67,0,0.674,0
