target,n_trees,strategy,service_time_min,t_max_h,seed,time_limit_sec,k,balance,total_travel_time_sec,route_time_mean_sec,route_time_std_sec,routes_over_t_max,dropped_trees,sum_max_radius_m,interleave_total,interleave_per_route,worst_pair_iou,cost_matrix.total,cost_matrix.cache_lookup,cost_matrix.osrm_fetch,cost_matrix.chunk_assembly,model_build.total,solve.total,solve.first_solution,solve.metaheuristic,solution_extraction.total,metrics.total,pipeline_total
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,42,120,24,0.8898053813398853,56884,10405,380,1,0,23140,3160,131.67,0.39,0.638,0.638,0.0,0.0,0.01,120.004,1.487,118.517,0.009,0.021,120.682
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,43,120,24,0.8898053813398853,56884,10405,380,1,0,23140,3160,131.67,0.39,0.636,0.636,0.0,0.0,0.003,120.005,1.428,118.577,0.008,0.02,120.673
Profiling RP2 - legacy completo (ambas fuentes),1607,global,2.0,3.0,44,120,24,0.8898053813398853,56858,10404,384,1,0,23225,3160,131.67,0.39,0.645,0.645,0.0,0.0,0.003,119.951,1.456,118.495,0.008,0.021,120.627
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,3.0,42,120,25,0.8451110122688017,62637,10219,557,0,0,21310,2341,93.64,0.42,0.667,0.667,0.0,0.0,1.735,120.006,2.704,117.302,0.008,0.02,122.434
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,3.0,43,120,25,0.8477612216909448,62537,10215,531,0,0,21332,2341,93.64,0.42,0.63,0.63,0.0,0.0,1.759,120.005,2.717,117.287,0.008,0.02,122.421
Profiling RP2 - legacy completo (ambas fuentes),1607,spatial_term,2.0,3.0,44,120,25,0.8428028727504647,62455,10211,572,1,0,21435,2378,95.12,0.42,0.639,0.639,0.0,0.0,1.815,120.005,2.669,117.335,0.006,0.018,122.483
