instance,n,axis,cell,strategy,balance_arm,span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-27-n72,72,config,actual,spatial_term,actual,0,False,0.0,29.8,2,2,0,5738,1.0,0,6,0.631,25.5,0.399,0.666,0.4,5207,5760,120.03,0.002,0.004,0.015,119.984,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,False,0.0,29.8,3,2,0,5738,1.0,0,6,0.631,25.5,0.399,0.666,0.4,5207,5760,120.07,0.002,0.004,0.014,119.985,0.001
area-27-n72,72,config,actual+reseq,spatial_term,actual,0,True,0.0,29.8,1,2,0,2538,0.807,597,3,0.63,25.5,0.227,0.517,0.4,2007,5760,120.06,0.002,0.007,0.016,119.984,0.0
area-27-n72,72,config,actual+reseq,spatial_term,actual,0,True,0.0,29.8,2,2,0,2538,0.807,597,3,0.63,25.5,0.227,0.517,0.4,2007,5760,120.03,0.002,0.004,0.014,119.984,0.0
area-27-n72,72,config,actual+reseq,spatial_term,actual,0,True,0.0,29.8,3,2,0,2538,0.807,597,3,0.63,25.5,0.227,0.517,0.4,2007,5760,120.03,0.002,0.004,0.014,119.984,0.0
area-27-n72,72,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,29.8,1,2,0,9332,1.0,2,27,0.646,26.0,0.519,0.832,0.4,8801,5760,120.1,0.002,0.006,0.015,120.02,0.0
area-27-n72,72,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,29.8,2,2,0,9332,1.0,2,27,0.646,26.0,0.519,0.832,0.4,8801,5760,120.03,0.002,0.004,0.015,119.986,0.0
area-27-n72,72,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,29.8,3,2,0,9332,1.0,2,27,0.646,26.0,0.519,0.832,0.4,8801,5760,120.04,0.002,0.004,0.014,119.985,0.0
area-27-n72,72,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,29.8,1,2,0,2410,0.885,337,4,0.65,26.0,0.218,0.512,0.4,1879,5760,120.06,0.002,0.007,0.015,119.985,0.0
area-27-n72,72,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,29.8,2,2,0,2410,0.885,337,4,0.65,26.0,0.218,0.512,0.4,1879,5760,120.03,0.002,0.004,0.014,119.985,0.0
area-27-n72,72,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,29.8,3,2,0,2410,0.885,337,4,0.65,26.0,0.218,0.512,0.4,1879,5760,120.02,0.002,0.004,0.014,119.985,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,False,0.0,27.6,1,1,0,2022,1.0,0,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.06,0.001,0.004,0.007,93.993,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,False,0.0,27.6,2,1,0,2022,1.0,0,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.02,0.001,0.002,0.006,93.994,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,False,0.0,27.6,3,1,0,2022,1.0,0,0,0.0,0.0,0.282,0.665,0.478,1634,2040,94.01,0.001,0.002,0.006,93.984,0.0
area-29-n43,43,config,actual+reseq,spatial_term,actual,0,True,0.0,27.6,2,1,0,1024,1.0,0,6,0.0,0.0,0.166,0.573,0.478,636,2040,94.05,0.001,0.004,0.007,93.991,0.0
area-29-n43,43,config,actual+reseq,spatial_term,actual,0,True,0.0,27.6,3,1,0,1024,1.0,0,6,0.0,0.0,0.166,0.573,0.478,636,2040,94.02,0.001,0.002,0.006,93.994,0.0
area-29-n43,43,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,27.6,1,1,0,3821,1.0,0,15,0.0,0.0,0.425,0.832,0.478,3433,2040,94.06,0.001,0.004,0.007,93.992,0.0
area-29-n43,43,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,27.6,2,1,0,3821,1.0,0,15,0.0,0.0,0.425,0.832,0.478,3433,2040,94.02,0.001,0.002,0.007,93.993,0.0
area-29-n43,43,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,27.6,3,1,0,3821,1.0,0,15,0.0,0.0,0.425,0.832,0.478,3433,2040,94.02,0.001,0.002,0.006,93.993,0.0
area-29-n43,43,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,27.6,1,1,0,1069,1.0,0,2,0.0,0.0,0.172,0.577,0.478,681,2040,94.05,0.001,0.004,0.008,93.991,0.0
area-29-n43,43,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,27.6,2,1,0,1069,1.0,0,2,0.0,0.0,0.172,0.577,0.478,681,2040,94.02,0.001,0.002,0.007,93.993,0.0
area-29-n43,43,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,27.6,3,1,0,1069,1.0,0,2,0.0,0.0,0.172,0.577,0.478,681,2040,94.02,0.001,0.002,0.006,93.996,0.0
battery-n50,50,config,actual,spatial_term,actual,0,False,0.0,112.6,1,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.06,0.001,0.005,0.009,104.991,0.0
battery-n50,50,config,actual,spatial_term,actual,0,False,0.0,112.6,2,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,104.99,0.001,0.002,0.008,104.956,0.0
battery-n50,50,config,actual,spatial_term,actual,0,False,0.0,112.6,3,2,0,8399,0.998,8,5,0.186,10.5,0.583,0.667,0.278,6375,8400,105.02,0.001,0.002,0.008,104.987,0.0
battery-n50,50,config,actual+reseq,spatial_term,actual,0,True,0.0,112.6,1,2,0,4359,0.992,20,4,0.19,10.5,0.421,0.479,0.278,2335,8400,105.06,0.001,0.005,0.009,104.991,0.001
