instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,0,1,7,,1,1,per-start,105,2,0,0,8389,0.998,6,7189,7194,7200,4,0.222,17.0,0.583,0.667,0.278,6365,1975,6414,8400,105.07,0.001,0.005,0.012,104.989,0.0
battery-n50,50,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,0,1,7,,2,1,per-start,105,2,0,0,8398,0.998,8,7191,7199,7207,6,0.195,16.5,0.583,0.667,0.278,6374,1975,6423,8400,105.03,0.001,0.003,0.009,104.992,0.0
battery-n50,50,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,0,1,7,,3,1,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.03,0.001,0.007,0.01,104.99,0.0
battery-n50,50,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,0,1,7,,4,1,per-start,105,2,0,0,8399,0.997,10,7190,7200,7209,4,0.203,20.0,0.583,0.667,0.278,6375,1975,6424,8400,105.03,0.001,0.003,0.01,104.99,0.0
battery-n50,50,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,112.6,0,1,7,,5,1,per-start,105,2,0,0,8385,0.999,4,7189,7192,7196,8,0.211,18.0,0.583,0.666,0.278,6361,1975,6410,8400,105.05,0.001,0.003,0.011,104.989,0.0
battery-n100,100,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,0,2,4,,1,1,per-start,120,3,0,0,9589,0.998,5,7191,7195,7203,4,0.201,18.0,0.444,0.666,0.37,7154,2412,7177,9600,120.05,0.003,0.008,0.029,119.972,0.001
battery-n100,100,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,0,2,4,,2,1,per-start,120,2,0,0,4332,0.904,413,7753,8166,8579,3,0.015,1.0,0.265,0.756,0.556,1872,2601,1731,2400,120.05,0.003,0.008,0.031,119.968,0.001
battery-n100,100,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,0,2,4,,3,1,per-start,120,2,0,0,4046,0.823,780,7243,8023,8803,0,0.0,0.0,0.252,0.743,0.556,1586,2601,1445,2400,120.03,0.006,0.008,0.025,119.956,0.001
battery-n100,100,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,0,2,4,,4,1,per-start,120,2,0,0,4092,0.819,803,7243,8046,8849,0,0.0,0.0,0.254,0.745,0.556,1632,2601,1491,2400,120.05,0.005,0.009,0.024,119.976,0.001
battery-n100,100,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,67.3,0,2,4,,5,1,per-start,120,2,0,0,4085,0.807,860,7182,8042,8903,2,0.0,0.0,0.254,0.744,0.556,1625,2601,1484,2400,120.05,0.004,0.008,0.026,119.982,0.001
battery-n200,200,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,0,3,3,,1,1,per-start,120,4,5,0,7099,0.89,350,7278,7521,8178,1,0.345,19.5,0.233,0.706,0.542,3621,4541,,5401,120.1,0.012,0.031,0.078,119.922,0.001
battery-n200,200,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,0,3,3,,2,1,per-start,120,4,5,0,7798,0.852,600,7190,7782,8443,1,0.014,1.0,0.25,0.723,0.542,4320,4541,,5400,120.11,0.013,0.034,0.074,119.926,0.001
battery-n200,200,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,0,3,3,,3,1,per-start,120,6,0,0,19141,0.999,3,7184,7190,7194,13,0.519,21.0,0.444,0.666,0.37,15699,4292,14849,19200,120.11,0.013,0.034,0.073,119.926,0.001
battery-n200,200,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,0,3,3,,4,1,per-start,120,4,0,0,8268,0.736,1015,7192,7651,9774,3,0.081,10.25,0.256,0.747,0.556,4790,4541,3727,4800,120.11,0.016,0.033,0.078,119.926,0.001
battery-n200,200,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,59.0,0,3,3,,5,1,per-start,120,5,0,0,13365,0.872,405,7190,7213,8241,12,0.408,23.0,0.358,0.692,0.444,9905,4404,8960,12000,120.1,0.013,0.031,0.074,119.925,0.001
battery-n400,400,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,0,6,3,,1,1,per-start,120,7,19,0,13192,0.722,896,7190,8425,9963,13,0.23,18.86,0.224,0.779,0.605,7674,7314,,6480,120.32,0.046,0.134,0.267,119.748,0.002
battery-n400,400,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,0,6,3,,2,1,per-start,120,8,18,0,15817,0.729,902,7185,7212,9855,12,0.249,15.62,0.257,0.714,0.531,10314,7178,,12361,120.29,0.048,0.138,0.281,119.723,0.002
battery-n400,400,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,0,6,3,,3,1,per-start,120,8,18,0,17393,0.648,1088,6273,7540,9681,30,0.554,11.38,0.275,0.732,0.531,11890,7178,,13560,120.27,0.046,0.122,0.268,119.736,0.002
battery-n400,400,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,0,6,3,,4,1,per-start,120,8,18,0,17257,0.718,1030,7182,7199,9997,39,0.322,20.0,0.273,0.73,0.531,11754,7178,,13560,120.27,0.045,0.123,0.246,119.757,0.002
battery-n400,400,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,0,6,3,,5,1,per-start,120,8,26,0,16583,0.786,833,7180,7207,9130,10,0.326,29.5,0.27,0.712,0.519,11080,7178,,13920,120.28,0.048,0.121,0.241,119.761,0.002
battery-n800,800,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,0,12,2,,1,1,per-start,120,16,0,0,27457,0.687,888,6644,7256,9678,70,0.563,22.19,0.222,0.714,0.556,18540,12033,15424,20642,120.92,0.186,0.511,0.908,119.098,0.004
battery-n800,800,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,0,12,2,,2,1,per-start,120,15,7,0,29485,0.613,1441,6566,7646,10713,177,0.624,28.27,0.237,0.769,0.587,20557,12116,,19800,120.97,0.185,0.549,0.895,119.108,0.004
battery-n800,800,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,0,12,2,,3,1,per-start,120,15,18,0,24934,0.687,833,6643,7747,9676,51,0.385,13.0,0.21,0.733,0.579,16006,12116,,16681,120.93,0.172,0.54,0.899,119.105,0.004
battery-n800,800,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,0,12,2,,4,1,per-start,120,16,1,0,29808,0.672,976,6644,7204,9880,77,0.553,17.19,0.237,0.727,0.555,20891,12033,,21361,120.93,0.188,0.518,0.878,119.123,0.004
battery-n800,800,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,0,12,2,,5,1,per-start,120,16,0,0,28438,0.66,967,6643,7234,10061,77,0.776,15.75,0.229,0.72,0.556,19521,12033,16405,21240,120.91,0.176,0.528,0.984,119.017,0.004
battery-n1000,1000,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,0,15,2,,1,1,per-start,120,22,0,0,43327,0.695,545,5996,7220,8627,68,0.622,17.27,0.265,0.687,0.505,32453,14860,28467,38640,121.36,0.281,0.808,1.35,118.653,0.004
battery-n1000,1000,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,0,15,2,,2,1,per-start,120,22,7,0,51651,0.638,1071,6750,7202,10587,477,0.825,27.18,0.302,0.719,0.502,40777,14860,,44400,121.44,0.294,0.854,1.41,118.595,0.004
battery-n1000,1000,config,cluster-r0,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,0,15,2,,3,1,per-start,120,21,1,0,46489,0.682,1149,7179,7191,10522,143,0.518,19.0,0.279,0.734,0.529,35604,14936,,36720,121.37,0.28,0.807,1.379,118.624,0.005
