instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,2,12,0,0,22532,0.721,952,7757,10182,10756,7,0.356,59.17,0.19,0.915,0.741,13569,12392,10140,2520,128.68,1.725,3.486,3.615,116.415,0.085
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,3,12,0,0,21237,0.768,795,8084,10086,10522,6,0.55,31.42,0.181,0.905,0.741,12274,12392,8845,2040,143.93,0.913,1.116,2.977,118.236,0.617
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,4,12,0,0,23167,0.633,1141,6782,10531,10710,22,0.372,61.42,0.194,0.919,0.741,14204,12392,10775,4200,130.96,3.816,2.056,7.035,113.419,0.147
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,5,12,0,0,24545,0.712,815,7661,10266,10762,20,0.387,80.08,0.204,0.93,0.741,15582,12392,12153,2040,129.93,5.141,0.687,5.023,114.773,0.095
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,1,15,0,0,26589,0.739,906,7933,10008,10737,7,0.589,52.53,0.181,0.905,0.741,15637,15438,11151,1561,121.18,0.218,0.65,1.25,118.751,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,2,14,0,0,28162,0.929,212,9999,10644,10767,6,0.566,71.0,0.19,0.98,0.794,17199,15529,12633,0,121.14,0.226,0.645,1.138,118.863,0.004
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,3,15,0,0,27022,0.737,858,7942,10083,10770,9,0.506,78.4,0.184,0.908,0.741,16070,15438,11584,840,121.14,0.224,0.663,1.148,118.853,0.004
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,4,15,0,0,27344,0.638,1232,6861,10292,10762,11,0.324,32.0,0.186,0.909,0.741,16392,15438,11906,3840,121.15,0.233,0.667,1.139,118.863,0.004
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,5,14,0,0,28640,0.943,165,10153,10670,10772,7,0.387,95.57,0.193,0.983,0.794,17677,15529,13111,0,121.09,0.215,0.655,1.165,118.836,0.004
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,1,5,0,0,16623,0.751,868,7921,9181,10551,2,0.213,16.4,0.357,0.863,0.556,8213,11132,5491,6000,120.11,0.014,0.039,0.089,119.91,0.001
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,2,5,0,0,16319,0.581,1607,6230,10113,10719,0,0.255,20.2,0.352,0.858,0.556,7909,11132,5187,6120,120.09,0.015,0.04,0.086,119.874,0.001
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,3,5,0,0,15145,0.625,1473,6733,9496,10770,1,0.344,14.8,0.335,0.836,0.556,6735,11132,4013,6120,120.11,0.016,0.042,0.086,119.911,0.001
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,4,5,0,0,15731,0.712,1060,7246,9560,10179,0,0.238,20.2,0.344,0.847,0.556,7321,11132,4599,6000,120.11,0.014,0.039,0.086,119.913,0.001
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,5,5,0,0,15352,0.653,1234,6842,9346,10473,1,0.075,2.6,0.339,0.84,0.556,6942,11132,4220,6000,120.11,0.018,0.04,0.087,119.912,0.001
