instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,35.4,1,12,0,0,22155,0.456,1587,4898,10524,10732,1,0.56,58.08,0.188,0.912,0.741,13192,12392,9763,4800,124.44,0.283,0.845,0.987,119.475,0.064
battery-n800,800,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,35.4,2,12,0,0,22360,0.594,1193,6361,10294,10712,3,0.309,88.25,0.189,0.913,0.741,13397,12392,9968,2400,128.73,1.745,3.756,3.527,116.481,0.084
battery-n800,800,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,35.4,3,12,0,0,21519,0.612,1230,6466,10296,10564,3,0.495,44.67,0.183,0.907,0.741,12556,12392,9127,3360,144.06,1.004,1.138,3.546,117.569,0.558
battery-n800,800,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,35.4,4,12,0,0,24183,0.63,1262,6779,10621,10756,20,0.372,74.58,0.201,0.927,0.741,15220,12392,11791,4440,130.84,3.536,2.237,8.963,111.481,0.066
battery-n800,800,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,35.4,5,12,0,0,23988,0.735,950,7879,10498,10721,16,0.367,69.5,0.2,0.926,0.741,15025,12392,11596,2041,129.98,5.151,0.722,5.338,114.453,0.114
battery-n1000,1000,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,34.7,1,15,0,0,27035,0.689,959,7395,10151,10737,6,0.568,59.2,0.184,0.908,0.741,16083,15438,11597,1560,121.18,0.223,0.65,1.231,118.771,0.005
battery-n1000,1000,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,34.7,2,15,0,0,26863,0.691,899,7444,9999,10767,4,0.412,51.47,0.183,0.907,0.741,15911,15438,11425,1800,121.14,0.227,0.642,1.176,118.829,0.004
battery-n1000,1000,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,34.7,3,14,0,0,28193,0.872,346,9389,10712,10765,15,0.44,70.86,0.19,0.98,0.794,17230,15529,12664,0,121.14,0.223,0.666,1.177,118.823,0.004
battery-n1000,1000,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,34.7,4,15,0,0,27447,0.466,1379,5015,10339,10762,12,0.411,37.13,0.186,0.91,0.741,16495,15438,12009,3120,121.13,0.228,0.657,1.2,118.803,0.004
battery-n1000,1000,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,34.7,5,14,0,0,27204,0.872,355,9384,10674,10764,8,0.552,70.86,0.185,0.974,0.794,16241,15529,11675,0,121.11,0.229,0.652,1.207,118.794,0.004
battery-sparse-n250,250,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,85.8,1,5,0,0,15392,0.698,1123,6842,9566,9802,2,0.078,5.6,0.339,0.841,0.556,6982,11132,4260,6000,120.11,0.015,0.039,0.092,119.908,0.001
battery-sparse-n250,250,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,85.8,2,5,0,0,14969,0.67,1246,6882,9309,10276,1,0.42,10.4,0.333,0.833,0.556,6559,11132,3837,6001,120.09,0.017,0.039,0.091,119.868,0.001
battery-sparse-n250,250,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,85.8,3,5,0,0,15313,0.674,1148,6842,9502,10152,1,0.354,14.8,0.338,0.839,0.556,6903,11132,4181,6000,120.11,0.017,0.039,0.092,119.905,0.001
battery-sparse-n250,250,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,85.8,4,5,0,0,15149,0.687,1104,6882,9486,10023,2,0.061,3.2,0.336,0.836,0.556,6739,11132,4017,6000,120.11,0.014,0.039,0.092,119.907,0.001
battery-sparse-n250,250,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,85.8,5,5,0,0,15232,0.657,1189,6842,9368,10418,2,0.346,11.2,0.337,0.838,0.556,6822,11132,4100,6000,120.12,0.019,0.04,0.093,119.906,0.001
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,1,8,0,0,21122,0.779,718,8296,10415,10644,1,0.483,33.62,0.26,0.939,0.694,11660,13517,7605,1200,120.35,0.058,0.162,0.347,119.653,0.002
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,2,8,0,0,22447,0.891,434,9580,10427,10754,1,0.296,49.88,0.272,0.954,0.694,12985,13517,8930,840,120.35,0.054,0.161,0.336,119.664,0.002
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,3,8,0,0,20915,0.875,446,9301,10154,10632,5,0.399,46.62,0.258,0.937,0.694,11453,13517,7398,240,120.37,0.054,0.165,0.338,119.696,0.002
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,4,8,0,0,21832,0.916,262,9721,10231,10608,1,0.257,52.62,0.267,0.947,0.694,12370,13517,8315,1200,120.32,0.053,0.162,0.346,119.653,0.002
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,5,8,0,0,20960,0.67,1124,7164,10546,10689,2,0.378,47.38,0.259,0.937,0.694,11498,13517,7443,1680,120.34,0.053,0.16,0.335,119.664,0.002
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,1,3,0,0,4406,0.782,819,6933,7444,8869,1,0.034,3.67,0.19,0.717,0.581,2023,3618,788,2760,120.06,0.006,0.016,0.047,119.952,0.001
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,2,3,0,0,4275,0.793,760,6933,7444,8738,0,0.034,3.67,0.185,0.713,0.581,1892,3618,657,2760,120.07,0.006,0.016,0.047,119.953,0.001
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,3,3,0,0,4309,0.567,1919,5878,6907,10364,0,0.155,10.67,0.186,0.715,0.581,1926,3618,691,3240,120.06,0.006,0.016,0.048,119.951,0.001
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,4,3,0,0,4316,0.796,749,6959,7459,8738,0,0.034,3.67,0.186,0.715,0.581,1933,3618,698,2760,120.07,0.007,0.016,0.047,119.961,0.001
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,5,3,0,0,4449,0.578,1880,5987,6938,10364,0,0.155,10.67,0.191,0.719,0.581,2066,3618,831,3240,64.48,0.006,0.017,0.049,64.365,0.001
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,1,1,0,0,1504,1.0,0,10144,10144,10144,0,0.0,0.0,0.148,0.939,0.8,965,1303,201,0,60.0,0.002,0.004,0.017,59.952,0.0
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,2,1,0,0,1504,1.0,0,10144,10144,10144,0,0.0,0.0,0.148,0.939,0.8,965,1303,201,0,34.77,0.002,0.004,0.017,34.724,0.0
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,3,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,55.24,0.002,0.004,0.016,55.199,0.0
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,4,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,60.0,0.005,0.004,0.017,59.953,0.0
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,5,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,46.16,0.002,0.004,0.017,46.115,0.0
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,43.83,0.002,0.003,0.01,43.804,0.0
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,30.03,0.001,0.002,0.009,29.981,0.0
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,60.0,0.001,0.002,0.008,59.963,0.0
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,4,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.008,93.994,0.0
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,5,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.008,93.993,0.0
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,1,25,0,0,59085,0.853,420,9168,10138,10747,3,0.457,84.56,0.235,0.933,0.714,32029,30823,28262,6480,122.68,0.601,1.675,2.911,117.093,0.006
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,2,25,0,0,60701,0.796,544,8566,10357,10762,6,0.472,82.0,0.239,0.939,0.714,33645,30823,29878,8520,122.68,0.59,1.659,2.861,117.179,0.006
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,3,25,0,0,62918,0.48,1190,5166,10660,10753,27,0.44,81.48,0.246,0.947,0.714,35862,30823,32095,13200,122.68,0.615,1.663,2.885,117.121,0.006
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,4,25,0,0,62741,0.841,544,9033,10471,10743,27,0.571,95.04,0.245,0.947,0.714,35685,30823,31918,8040,122.68,0.608,1.67,2.883,117.122,0.006
reference-n1607,1607,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,44.1,5,25,0,1,64889,0.837,486,9014,10497,10771,18,0.409,191.56,0.252,0.955,0.714,37833,30823,34066,10440,122.66,0.599,1.658,2.819,117.186,0.006
