route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,8,9735,960,8775,0.901,0,0.901,0
2,68,9998,8160,1838,0.184,0,0.926,12
3,63,9485,7560,1925,0.203,0,0.878,2
4,64,10762,7680,3082,0.286,0,0.996,2
5,58,10757,6960,3797,0.353,0,0.996,3
6,63,10686,7560,3126,0.293,0,0.989,0
7,63,10270,7560,2710,0.264,0,0.951,1
8,56,9176,6720,2456,0.268,0,0.85,5
9,73,10734,8760,1974,0.184,0,0.994,4
10,65,9193,7800,1393,0.152,0,0.851,1
11,62,9183,7440,1743,0.19,0,0.85,5
12,78,10763,9360,1403,0.13,0,0.997,2
13,61,9020,7320,1700,0.188,0,0.835,5
14,68,10698,8160,2538,0.237,0,0.991,3
15,65,10676,7800,2876,0.269,0,0.989,3
16,81,10710,9720,990,0.092,0,0.992,4
17,68,10683,8160,2523,0.236,0,0.989,3
18,69,9609,8280,1329,0.138,0,0.89,1
19,68,9672,8160,1512,0.156,0,0.896,4
20,68,9086,8159,927,0.102,0,0.841,0
21,75,10357,9000,1357,0.131,0,0.959,2
22,61,10524,7320,3204,0.304,0,0.974,2
23,67,10692,8040,2652,0.248,0,0.99,5
24,67,9554,8040,1514,0.158,0,0.885,5
25,68,10188,8160,2028,0.199,0,0.943,2
summary,1607,252211,192839,59372,0.235,0,0.934,76
