instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,2,1,per-start,94,1,0,0,2027,1.0,0,7187,7187,7187,4,0.0,0.0,0.282,0.665,0.478,1639,789,1238,2040,94.08,0.002,0.003,0.01,93.989,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,2,1,per-start,120,25,0,0,62017,0.834,575,8968,10353,10758,73,0.414,92.88,0.243,0.944,0.714,34961,30823,31194,9480,124.31,0.965,2.711,4.498,115.507,0.01
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,3,1,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,105.12,0.001,0.008,0.018,104.988,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.05,0.004,0.01,0.054,119.946,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.13,0.016,0.043,0.092,119.909,0.001
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,3,1,per-start,120,6,0,0,11942,0.86,497,9034,10187,10500,19,0.613,19.83,0.199,0.925,0.741,6410,7477,4465,0,120.36,0.061,0.156,0.319,119.681,0.002
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,3,1,per-start,120,12,0,0,20749,0.852,442,8865,9764,10406,36,0.381,61.17,0.178,0.901,0.741,11786,12392,8357,720,121.21,0.257,0.685,1.169,118.78,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,3,1,per-start,120,15,0,0,27964,0.832,593,8969,9843,10777,63,0.508,104.13,0.189,0.913,0.741,17012,15438,12526,1680,121.75,0.383,1.001,1.849,118.152,0.006
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,3,1,per-start,120,6,0,0,16628,0.843,483,7403,7529,8777,0,0.255,34.17,0.357,0.72,0.463,8252,10927,5701,13200,120.2,0.024,0.063,0.129,119.87,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,3,1,per-start,120,9,0,0,21529,0.972,69,8964,9038,9226,14,0.706,95.11,0.264,0.839,0.617,12087,13401,8128,4801,120.52,0.086,0.257,0.492,119.507,0.003
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,3,1,per-start,120,3,0,0,5214,0.875,441,7426,8143,8485,1,0.044,6.67,0.217,0.743,0.581,2831,3618,1596,2760,120.09,0.009,0.029,0.069,119.93,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,3,1,per-start,120,2,0,0,5733,1.0,2,7185,7186,7188,4,0.501,17.5,0.399,0.665,0.4,5202,914,4819,5760,120.05,0.003,0.005,0.023,119.976,0.0
