instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,4,12,0,0,20630,0.849,555,9055,9508,10669,33,0.402,60.08,0.177,0.9,0.741,11667,12392,8238,360,121.08,0.191,0.551,0.903,119.175,0.004
battery-n800,800,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,5,12,0,0,20998,0.834,567,8971,9703,10752,52,0.549,73.42,0.179,0.903,0.741,12035,12392,8606,360,120.94,0.177,0.54,0.984,119.022,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,1,15,0,0,28101,0.841,610,8995,9857,10699,74,0.655,91.27,0.19,0.914,0.741,17149,15438,12663,2760,121.45,0.284,0.847,1.453,118.551,0.006
battery-n1000,1000,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,2,15,0,0,26182,0.841,612,9014,9662,10719,57,0.552,104.27,0.179,0.902,0.741,15230,15438,10744,960,121.46,0.293,0.864,1.498,118.507,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,3,15,0,0,27923,0.835,654,8981,9782,10754,58,0.589,107.07,0.189,0.913,0.741,16971,15438,12485,1320,121.42,0.272,0.842,1.371,118.633,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,4,15,0,0,26241,0.838,670,8983,9694,10715,77,0.34,63.93,0.179,0.903,0.741,15289,15438,10803,960,121.47,0.27,0.89,1.497,118.507,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,5,15,0,0,26146,0.837,714,9000,9579,10751,56,0.493,78.87,0.179,0.902,0.741,15194,15438,10708,600,121.46,0.285,0.858,1.413,118.589,0.004
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,1,6,0,0,16044,0.92,247,7332,7786,7967,2,0.329,10.17,0.348,0.711,0.463,7668,10927,5117,13200,120.15,0.021,0.053,0.106,119.897,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,2,5,0,0,15708,0.963,123,8975,9156,9324,8,0.133,19.8,0.344,0.846,0.556,7298,11132,4576,6000,120.14,0.019,0.05,0.105,119.888,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,3,5,0,0,15191,0.961,131,8896,8975,9254,2,0.366,35.4,0.336,0.837,0.556,6781,11132,4059,6000,120.15,0.018,0.051,0.105,119.898,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,4,6,0,0,16719,0.831,482,7200,7745,8661,2,0.091,13.67,0.358,0.721,0.463,8343,10927,5792,13200,120.15,0.02,0.054,0.114,119.888,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,5,6,0,0,17198,0.831,580,7280,7578,8764,0,0.203,22.0,0.364,0.728,0.463,8822,10927,6271,13200,120.18,0.02,0.056,0.124,119.878,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,1,9,0,0,21292,0.945,143,8900,8977,9414,4,0.567,60.56,0.262,0.836,0.617,11850,13401,7891,5040,120.46,0.071,0.224,0.37,119.635,0.003
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,2,8,0,0,20258,0.862,506,9203,9880,10674,19,0.613,35.0,0.252,0.929,0.694,10796,13517,6741,840,120.45,0.075,0.217,0.41,119.593,0.004
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,3,9,0,0,21097,0.986,44,8960,9008,9087,7,0.576,45.67,0.26,0.834,0.617,11655,13401,7696,4800,120.47,0.071,0.213,0.381,119.626,0.003
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,4,8,0,0,19559,0.865,549,9173,10204,10605,19,0.271,49.12,0.246,0.921,0.694,10097,13517,6042,1440,120.43,0.073,0.208,0.416,119.586,0.003
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,56.9,5,9,0,0,21381,0.98,59,8970,9036,9157,15,0.616,80.56,0.263,0.837,0.617,11939,13401,7980,5040,120.43,0.075,0.232,0.411,119.581,0.002
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,1,3,0,0,4962,0.876,456,7294,8186,8322,0,0.042,2.67,0.208,0.735,0.581,2579,3618,1344,2760,120.08,0.007,0.025,0.053,119.95,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,2,3,0,0,5435,0.894,377,7682,8001,8592,0,0.338,36.67,0.224,0.749,0.581,3052,3618,1817,2760,120.08,0.007,0.02,0.053,119.948,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,10000,,0,False,0.0,48.1,3,3,0,0,4965,0.832,593,7178,8000,8627,1,0.11,6.33,0.209,0.735,0.581,2582,3618,1347,2760,120.08,0.007,0.02,0.06,119.943,0.001
