route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,33,8984,3960,5024,0.559,16,0.832,22
2,39,8988,4680,4308,0.479,12,0.832,5
summary,72,17972,8640,9332,0.519,28,0.832,27
