route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,43,8981,5160,3821,0.425,19,0.832,15
summary,43,8981,5160,3821,0.425,19,0.832,15
