target,n_trees,strategy,service_time_min,t_max_h,seed,time_limit_sec,k,balance,total_travel_time_sec,route_time_mean_sec,route_time_std_sec,routes_over_t_max,dropped_trees,sum_max_radius_m,interleave_total,interleave_per_route,worst_pair_iou,cost_matrix.total,cost_matrix.cache_lookup,cost_matrix.hash,cost_matrix.persist,cost_matrix.osrm_fetch,cost_matrix.chunk_assembly,cost_matrix.single_request,cost_matrix.chunked_diagonal,cost_matrix.chunked_offdiagonal,model_build.total,model_build.geo_matrix,model_build.disjunctions,model_build.vehicle_bounds,model_build.search_params,solve.total,solve.first_solution,solve.metaheuristic,solution_extraction.total,metrics.total,pipeline_total
area-29-n43,43,global,2.0,3.0,42,120,1,1.0,1082,6243,0,0,0,249,0,0.0,0.0,3.409,0.004,0.0,0.016,1.692,0.003,1.693,0.0,0.0,0.057,0.0,0.002,0.0,0.022,120.002,0.062,119.939,0.006,0.002,123.475
area-29-n43,43,global,2.0,3.0,43,120,1,1.0,1082,6243,0,0,0,249,0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,120.001,0.056,119.945,0.004,0.004,120.016
area-29-n43,43,global,2.0,3.0,44,120,1,1.0,1082,6243,0,0,0,249,0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,120.002,0.027,119.975,0.003,0.002,120.013
