instance,n,axis,cell,strategy,balance_arm,span_coef,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n100,100,config,tmin-scaled,spatial_term,tmin-scaled,0,1,3,0,4241,0.903,236,3,0.106,1.33,0.261,0.501,0.37,1806,9600,120.04,0.003,0.007,0.021,119.977,0.0
battery-n100,100,config,tmin-scaled,spatial_term,tmin-scaled,0,2,3,0,4241,0.903,236,3,0.106,1.33,0.261,0.501,0.37,1806,9600,120.03,0.003,0.007,0.021,119.978,0.0
battery-n100,100,config,tmin-scaled,spatial_term,tmin-scaled,0,3,3,0,4241,0.903,236,3,0.106,1.33,0.261,0.501,0.37,1806,9600,120.04,0.003,0.007,0.02,119.979,0.0
battery-n100,100,config,service-floor,spatial_term,service-floor,0,1,2,0,4354,0.961,163,1,0.017,3.0,0.266,0.757,0.556,1894,2400,120.04,0.003,0.007,0.02,119.979,0.0
battery-n100,100,config,service-floor,spatial_term,service-floor,0,2,2,0,4354,0.961,163,1,0.017,3.0,0.266,0.757,0.556,1894,2400,120.04,0.003,0.007,0.02,119.979,0.0
battery-n100,100,config,service-floor,spatial_term,service-floor,0,3,2,0,4354,0.961,163,1,0.017,3.0,0.266,0.757,0.556,1894,2400,120.05,0.003,0.007,0.02,119.996,0.0
battery-n100,100,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,1,3,0,4241,0.982,236,3,0.106,1.33,0.261,0.501,0.37,1806,9600,120.04,0.003,0.007,0.02,119.978,0.0
battery-n100,100,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,2,3,0,4241,0.982,236,3,0.106,1.33,0.261,0.501,0.37,1806,9600,120.06,0.003,0.007,0.021,120.006,0.0
battery-n100,100,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,3,3,0,4241,0.982,236,3,0.106,1.33,0.261,0.501,0.37,1806,9600,120.04,0.003,0.007,0.02,119.979,0.0
battery-n100,100,config,span-c100,spatial_term,actual,100,1,2,0,3797,0.987,54,7,0.017,3.0,0.24,0.731,0.556,1337,2400,120.06,0.003,0.007,0.025,119.975,0.0
battery-n100,100,config,span-c100,spatial_term,actual,100,2,2,0,3797,0.987,54,7,0.017,3.0,0.24,0.731,0.556,1337,2400,120.04,0.003,0.007,0.026,119.973,0.0
battery-n100,100,config,span-c100,spatial_term,actual,100,3,2,0,3797,0.987,54,7,0.017,3.0,0.24,0.731,0.556,1337,2400,120.04,0.003,0.007,0.025,119.975,0.0
battery-n100,100,algo,global,global,actual,0,1,2,0,4040,0.848,660,9,0.342,21.5,0.252,0.743,0.556,1580,2400,120.03,0.003,0.0,0.012,119.988,0.0
battery-n100,100,algo,global,global,actual,0,2,2,0,4040,0.848,660,9,0.342,21.5,0.252,0.743,0.556,1580,2400,120.03,0.003,0.0,0.012,119.987,0.0
battery-n100,100,algo,global,global,actual,0,3,2,0,4040,0.848,660,9,0.342,21.5,0.252,0.743,0.556,1580,2400,120.03,0.003,0.0,0.012,119.988,0.0
battery-n100,100,algo,greedy,greedy,actual,0,1,2,0,4917,0.577,2268,14,0.12,7.5,0.291,0.783,0.556,2457,3480,0.01,0.0,0.0,0.0,0.0,0.0
battery-n100,100,algo,greedy,greedy,actual,0,2,2,0,4917,0.577,2268,14,0.12,7.5,0.291,0.783,0.556,2457,3480,0.01,0.0,0.0,0.0,0.0,0.0
battery-n100,100,algo,greedy,greedy,actual,0,3,2,0,4917,0.577,2268,14,0.12,7.5,0.291,0.783,0.556,2457,3480,0.01,0.0,0.0,0.0,0.0,0.0
battery-n200,200,config,actual,spatial_term,actual,0,1,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.0,0.01,0.026,0.061,119.858,0.001
battery-n200,200,config,actual,spatial_term,actual,0,2,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.026,0.063,119.935,0.001
battery-n200,200,config,actual,spatial_term,actual,0,3,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.026,0.062,119.936,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,1,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.08,0.009,0.026,0.058,119.94,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,2,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.08,0.009,0.026,0.059,119.94,0.001
battery-n200,200,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,3,4,0,12024,0.99,38,4,0.65,75.0,0.334,0.834,0.556,8546,4800,120.08,0.009,0.026,0.059,119.938,0.001
battery-n200,200,config,tmin-scaled,spatial_term,tmin-scaled,0,1,5,0,7728,0.834,411,4,0.115,15.0,0.244,0.588,0.444,4268,12000,120.11,0.01,0.027,0.063,119.936,0.001
battery-n200,200,config,tmin-scaled,spatial_term,tmin-scaled,0,2,5,0,7728,0.834,411,4,0.115,15.0,0.244,0.588,0.444,4268,12000,120.08,0.009,0.026,0.06,119.938,0.001
battery-n200,200,config,tmin-scaled,spatial_term,tmin-scaled,0,3,5,0,7728,0.834,411,4,0.115,15.0,0.244,0.588,0.444,4268,12000,120.09,0.009,0.031,0.063,119.936,0.001
battery-n200,200,config,service-floor,spatial_term,service-floor,0,1,4,0,7890,0.867,541,2,0.021,1.5,0.247,0.739,0.556,4412,4800,120.08,0.009,0.026,0.061,119.937,0.001
battery-n200,200,config,service-floor,spatial_term,service-floor,0,2,4,0,7890,0.867,541,2,0.021,1.5,0.247,0.739,0.556,4412,4800,120.08,0.009,0.028,0.06,119.938,0.001
