instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n1000,1000,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,24,,,0,0,True,0.0,34.7,1,,,,,2,1,per-start,120,14,0,0,0,22644,0.866,0.902,412,9320,10133,10760,44,17,0.53,83.43,0.159,0.943,0.794,11681,15529,7115,0,121.13,0.23,0.672,0.671,119.335,0.004,0.0
battery-n1000,1000,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,24,,,0,0,True,0.0,34.7,1,,,,,3,1,per-start,120,14,0,0,0,24040,0.869,0.916,391,9296,10366,10702,60,21,0.56,82.43,0.167,0.953,0.794,13077,15529,8511,0,121.19,0.237,0.649,0.656,119.351,0.006,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,11,,,0,0,True,0.0,85.8,1,,,,,1,1,per-start,120,6,0,0,0,14669,0.929,0.93,207,7194,7444,7743,14,3,0.33,11.5,0.328,0.689,0.463,6293,10927,3742,13200,120.06,0.014,0.04,0.06,119.877,0.002,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,11,,,0,0,True,0.0,85.8,1,,,,,2,1,per-start,120,6,0,0,0,15835,0.877,0.877,446,7187,7580,8196,13,2,0.33,47.67,0.345,0.707,0.463,7459,10927,4908,13200,120.11,0.017,0.04,0.057,119.945,0.001,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,11,,,0,0,True,0.0,85.8,1,,,,,3,1,per-start,120,6,0,0,0,15252,0.839,0.841,474,7191,7374,8567,13,3,0.24,19.67,0.337,0.698,0.463,6876,10927,4325,13200,120.1,0.014,0.04,0.055,119.947,0.001,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,15,,,0,0,True,0.0,56.9,1,,,,,1,1,per-start,120,9,0,0,0,21016,0.984,0.987,44,8939,9000,9082,29,9,0.57,60.33,0.259,0.834,0.617,11574,13401,7615,4800,120.32,0.055,0.162,0.181,119.823,0.002,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,15,,,0,0,True,0.0,56.9,1,,,,,2,1,per-start,120,8,0,0,0,19309,0.846,0.863,525,9091,10036,10750,28,9,0.52,37.25,0.243,0.918,0.694,9847,13517,5792,1560,120.35,0.055,0.161,0.177,119.825,0.002,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,15,,,0,0,True,0.0,56.9,1,,,,,3,1,per-start,120,8,0,0,0,19562,0.865,0.87,600,9089,10331,10506,19,3,0.39,53.5,0.246,0.921,0.694,10100,13517,6045,2760,120.34,0.055,0.164,0.19,119.813,0.004,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,8,,,0,0,True,0.0,48.1,1,,,,,1,1,per-start,120,3,0,0,0,4815,0.984,0.986,58,7838,7851,7966,14,7,0.33,22.0,0.204,0.73,0.581,2432,3618,1197,2760,120.06,0.006,0.017,0.031,119.971,0.001,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,8,,,0,0,True,0.0,48.1,1,,,,,2,1,per-start,120,3,0,0,0,4828,0.9,0.927,353,7535,7762,8371,17,4,0.11,6.0,0.204,0.731,0.581,2445,3618,1210,2760,120.06,0.006,0.017,0.03,119.972,0.001,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,0,10000,,8,,,0,0,True,0.0,48.1,1,,,,,3,1,per-start,120,3,0,0,0,4763,0.898,0.943,347,7460,7834,8309,15,16,0.07,6.0,0.202,0.728,0.581,2380,3618,1145,2760,120.08,0.006,0.017,0.029,119.973,0.001,0.0
