instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,1,1,per-start,105,1,0,0,0,3333,1.0,1.0,0,9333,9333,9333,3,1,0.0,0.0,0.357,0.864,0.556,1266,2746,587,1200,105.05,0.001,0.006,0.015,104.984,0.0,0.0
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,2,1,per-start,105,1,0,0,0,3333,1.0,1.0,0,9333,9333,9333,3,1,0.0,0.0,0.357,0.864,0.556,1266,2746,587,1200,105.03,0.001,0.005,0.01,104.99,0.0,0.0
battery-n50,50,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,3,1,per-start,105,1,0,0,0,3333,1.0,1.0,0,9333,9333,9333,3,1,0.0,0.0,0.357,0.864,0.556,1266,2746,587,1200,105.04,0.004,0.003,0.013,104.988,0.001,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,1,1,per-start,120,2,0,0,0,3948,0.651,1.0,1685,6289,7974,9659,3,3,0.03,5.0,0.248,0.738,0.556,1488,2601,1347,2400,120.1,0.003,0.009,0.027,119.973,0.001,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,2,1,per-start,120,2,0,0,0,3927,0.519,1.0,2520,5444,7964,10483,3,2,0.12,2.0,0.247,0.738,0.556,1467,2601,1326,3720,120.04,0.003,0.008,0.022,119.978,0.0,0.0
battery-n100,100,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3948,0.651,1.0,1685,6289,7974,9659,3,3,0.03,5.0,0.248,0.738,0.556,1488,2601,1347,2400,120.04,0.003,0.007,0.022,119.977,0.0,0.0
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,0,7115,0.464,0.85,1955,4544,8386,9798,14,15,0.03,2.75,0.229,0.72,0.556,3637,4541,2574,4800,120.09,0.01,0.028,0.065,119.935,0.001,0.0
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,0,7284,0.838,0.879,583,7077,7878,8450,10,10,0.07,12.75,0.233,0.724,0.556,3806,4541,2743,4800,120.1,0.009,0.025,0.063,119.938,0.001,0.0
battery-n200,200,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,0,7199,0.571,0.711,1618,5618,7872,9836,7,11,0.07,7.25,0.231,0.722,0.556,3721,4541,2658,6000,120.09,0.011,0.026,0.064,119.934,0.001,0.0
battery-n400,400,config,no-floor-stops10,spatial_term,no-floor-stops10,10000,midpoint,0,3,10000,,13,,,0,0,True,0.0,46.7,1,,,,,1,1,per-start,120,6,0,0,0,13268,0.869,0.952,471,9218,10418,10611,13,13,0.3,52.83,0.217,0.946,0.741,7736,7477,5791,240,120.24,0.042,0.103,0.221,119.778,0.002,0.0
