instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n1000,1000,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,2,1,per-start,120,15,0,0,0,26745,0.865,0.877,419,9226,9691,10660,67,47,0.61,74.53,0.182,0.906,0.741,15793,15438,11307,720,121.14,0.24,0.676,1.074,118.929,0.004,0.0
battery-n1000,1000,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,3,1,per-start,120,15,0,0,0,26958,0.84,0.845,526,8960,9842,10669,47,40,0.4,50.87,0.183,0.907,0.741,16006,15438,11520,2040,121.13,0.241,0.644,1.087,118.916,0.004,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,1,1,per-start,120,6,0,0,0,15461,0.81,0.84,619,6835,7375,8434,7,3,0.42,17.67,0.34,0.702,0.463,7085,10927,4534,13200,120.13,0.014,0.039,0.083,119.943,0.001,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,2,1,per-start,120,6,0,0,0,14665,0.846,0.86,528,6947,7141,8213,5,4,0.32,8.5,0.328,0.689,0.463,6289,10927,3738,13200,120.11,0.016,0.039,0.082,119.919,0.001,0.0
battery-sparse-n250,250,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,3,1,per-start,120,6,0,0,0,15437,0.847,0.859,442,7191,7368,8491,11,6,0.29,23.33,0.34,0.701,0.463,7061,10927,4510,13200,120.11,0.016,0.04,0.085,119.915,0.001,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,1,1,per-start,120,8,0,0,0,18842,0.849,0.85,601,9079,9867,10697,10,4,0.42,43.38,0.239,0.912,0.694,9380,13517,5325,1200,120.32,0.058,0.161,0.302,119.701,0.002,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,2,1,per-start,120,9,0,0,0,21707,0.896,0.903,298,8878,8979,9908,14,2,0.57,74.89,0.266,0.84,0.617,12265,13401,8306,5640,120.36,0.063,0.163,0.297,119.706,0.002,0.0
battery-sparse-n500,500,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,3,1,per-start,120,9,0,0,0,21479,0.97,0.98,68,8934,9038,9206,15,6,0.71,95.67,0.264,0.838,0.617,12037,13401,8078,4920,120.34,0.075,0.164,0.298,119.703,0.002,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,1,1,per-start,120,3,0,0,0,4999,0.904,0.974,336,7488,8068,8283,2,4,0.23,13.67,0.21,0.736,0.581,2616,3618,1381,2760,120.07,0.006,0.016,0.044,119.958,0.001,0.0
area-26-n157,157,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,2,1,per-start,120,3,0,0,0,4461,0.784,0.836,819,6974,7432,8895,2,5,0.11,5.67,0.191,0.719,0.581,2078,3618,843,2760,120.07,0.008,0.017,0.046,119.955,0.001,0.0
