instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n400,400,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,1,6,3,,5,1,per-start,120,7,0,0,13070,0.669,1406,7185,8837,10747,16,0.267,33.29,0.214,0.808,0.635,7552,7314,5756,6600,120.29,0.045,0.125,0.242,119.761,0.002
battery-n800,800,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,1,12,2,,1,1,per-start,120,14,0,0,23381,0.632,1093,6644,8928,10515,75,0.541,39.0,0.196,0.79,0.635,14441,12208,11173,9840,120.94,0.2,0.516,0.872,119.132,0.004
battery-n800,800,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,1,12,2,,2,1,per-start,120,15,0,0,24270,0.802,648,7181,7844,8959,7,0.746,51.53,0.202,0.742,0.593,15342,12116,12154,12600,120.96,0.195,0.54,0.889,119.114,0.003
battery-n800,800,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,1,12,2,,3,1,per-start,120,15,0,0,25445,0.637,881,6643,7921,10431,42,0.526,39.93,0.21,0.75,0.593,16517,12116,13329,14160,120.92,0.178,0.52,0.953,119.049,0.004
battery-n800,800,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,1,12,2,,4,1,per-start,120,15,0,0,22445,0.789,690,7206,7474,9136,10,0.546,48.0,0.189,0.731,0.593,13517,12116,10329,12840,120.92,0.185,0.51,0.881,119.121,0.004
battery-n800,800,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,1,12,2,,5,1,per-start,120,15,0,0,23433,0.816,608,7183,7901,8799,6,0.498,31.73,0.196,0.737,0.593,14505,12116,11317,12601,120.89,0.174,0.51,0.958,119.044,0.003
battery-n1000,1000,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,1,15,2,,1,1,per-start,120,19,0,0,33328,0.738,817,7181,7970,9736,86,0.475,43.95,0.217,0.747,0.585,22421,15097,18231,18960,121.35,0.284,0.804,1.361,118.643,0.004
battery-n1000,1000,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,1,15,2,,2,1,per-start,120,19,17,0,37147,0.728,951,7182,8387,9862,107,0.443,47.74,0.239,0.756,0.575,26240,15097,,23040,121.45,0.294,0.859,1.393,118.612,0.004
battery-n1000,1000,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,1,15,2,,3,1,per-start,120,19,0,0,33393,0.801,784,7184,8295,8967,42,0.507,41.84,0.218,0.748,0.585,22486,15097,18296,18120,121.35,0.276,0.806,1.351,118.652,0.005
battery-n1000,1000,config,cluster-r1,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,1,15,2,,4,1,per-start,120,18,13,0,32689,0.777,692,7185,8706,9249,88,0.81,55.94,0.216,0.777,0.609,21771,15179,,13800,121.38,0.295,0.809,1.425,118.581,0.004
