route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,26,8036,7800,236,0.029,0,0.744,0
2,28,8945,8400,545,0.061,0,0.828,0
3,24,8908,7200,1708,0.192,0,0.825,0
4,28,8615,8400,215,0.025,0,0.798,0
5,27,8956,8100,856,0.096,0,0.829,0
6,24,8385,7200,1185,0.141,0,0.776,0
summary,157,51845,47100,4745,0.092,0,0.8,0
