route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,2,7671,240,7431,0.969,0,0.71,0
2,68,10259,8160,2099,0.205,0,0.95,1
3,69,10642,8280,2362,0.222,0,0.985,0
4,66,10260,7920,2340,0.228,0,0.95,0
5,59,10368,7080,3288,0.317,0,0.96,0
6,76,10566,9120,1446,0.137,0,0.978,1
7,64,10540,7680,2860,0.271,0,0.976,0
8,65,10469,7800,2669,0.255,0,0.969,0
9,72,10423,8640,1783,0.171,0,0.965,0
10,69,9988,8279,1709,0.171,0,0.925,0
11,73,10728,8760,1968,0.183,0,0.993,0
12,53,9192,6360,2832,0.308,0,0.851,0
13,69,10368,8280,2088,0.201,0,0.96,0
14,63,10657,7560,3097,0.291,0,0.987,2
15,65,10518,7800,2718,0.258,0,0.974,0
16,80,10687,9600,1087,0.102,0,0.99,0
17,64,10273,7680,2593,0.252,0,0.951,0
18,75,10409,9000,1409,0.135,0,0.964,0
19,53,7791,6360,1431,0.184,0,0.721,0
20,78,10380,9360,1020,0.098,0,0.961,0
21,77,10449,9240,1209,0.116,0,0.968,0
22,48,8776,5760,3016,0.344,0,0.813,1
23,63,10362,7560,2802,0.27,0,0.959,0
24,65,9531,7800,1731,0.182,0,0.882,0
25,71,10228,8520,1708,0.167,0,0.947,1
summary,1607,251535,192839,58696,0.233,0,0.932,6
