instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
area-27-n72,72,config,warm-greedy,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,greedy,1,1,per-start,120,2,0,0,0,2420,0.954,1.0,130,5400,5530,5660,7,4,0.59,18.0,0.219,0.512,0.4,1889,914,1506,5760,120.08,0.002,0.008,0.012,119.999,0.0,0.0
area-27-n72,72,config,warm-greedy,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,greedy,2,1,per-start,120,2,0,0,0,2332,0.88,1.0,349,5137,5486,5835,9,2,0.43,14.5,0.213,0.508,0.4,1801,914,1418,5760,120.04,0.002,0.004,0.002,120.0,0.001,0.0
area-27-n72,72,config,warm-greedy,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,greedy,3,1,per-start,120,2,0,0,0,2420,0.954,1.0,130,5400,5530,5660,7,4,0.59,18.0,0.219,0.512,0.4,1889,914,1506,5760,120.04,0.002,0.004,0.002,120.0,0.001,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,1,1,per-start,120,2,0,0,0,2790,0.91,1.0,268,5447,5715,5983,5,5,0.75,26.5,0.244,0.529,0.4,2259,914,1876,5760,120.07,0.002,0.009,0.016,119.979,0.001,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,2,1,per-start,120,2,0,0,0,2390,0.827,1.0,521,4994,5515,6036,3,3,0.54,22.0,0.217,0.511,0.4,1859,914,1476,5760,120.05,0.002,0.004,0.015,119.985,0.001,0.0
area-27-n72,72,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,3,1,per-start,120,2,0,0,0,2302,0.748,1.0,788,4683,5471,6259,4,4,0.41,15.5,0.21,0.507,0.4,1771,914,1388,5760,120.04,0.002,0.004,0.014,119.985,0.001,0.0
