instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,1,5,total,21,2,0,0,8392,0.999,5,7191,7196,7201,5,0.412,12.0,0.583,0.667,0.278,6368,1975,6417,8400,105.09,0.001,0.016,0.057,104.944,0.002
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,1,5,total,24,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.12,0.004,0.054,0.162,119.849,0.003
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,1,5,total,24,4,0,0,8431,0.865,566,7530,8096,8710,3,0.352,15.5,0.26,0.75,0.556,4953,4541,3890,4800,120.31,0.014,0.202,0.475,119.527,0.006
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,1,5,total,24,7,0,0,15858,0.95,154,8909,9172,9375,32,0.507,65.0,0.248,0.845,0.635,10340,7314,8544,3120,121.07,0.055,0.814,1.561,118.467,0.012
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,1,5,total,24,12,0,0,23924,0.832,557,8937,10088,10743,88,0.694,69.42,0.199,0.925,0.741,14961,12392,11532,1680,123.98,0.224,3.373,5.749,114.266,0.024
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,1,5,total,24,15,0,0,34136,0.86,470,9260,10381,10764,89,0.681,157.93,0.221,0.951,0.741,23184,15438,18698,3000,126.15,0.346,5.32,8.797,111.23,0.033
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,1,5,total,24,5,0,0,16107,0.904,366,8993,9056,9951,10,0.368,36.0,0.349,0.854,0.556,7697,11132,4975,6000,120.5,0.023,0.32,0.656,119.346,0.007
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,1,5,total,24,9,0,0,25214,0.875,476,8961,9358,10246,23,0.583,96.22,0.296,0.877,0.617,15772,13401,11813,6000,121.59,0.086,1.3,2.407,117.601,0.014
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,1,5,total,24,3,0,0,4988,0.86,542,7176,8303,8349,3,0.346,17.67,0.209,0.735,0.581,2605,3618,1370,2760,120.21,0.009,0.133,0.319,119.683,0.004
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,1,5,total,24,2,0,0,5738,0.999,2,7187,7189,7191,13,0.755,26.0,0.399,0.665,0.4,5207,914,4824,5760,120.07,0.003,0.029,0.106,119.9,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,1,5,total,18,1,0,0,2025,1.0,0,7185,7185,7185,4,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,90.04,0.002,0.012,0.049,89.956,0.002
