instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,1,5,per-start,105,2,0,0,8399,0.998,8,7191,7200,7208,5,0.186,10.5,0.583,0.667,0.278,6375,1975,6424,8400,525.13,0.004,0.022,0.079,524.921,0.002
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,1,5,per-start,120,2,0,0,4277,0.966,142,7996,8138,8281,0,0.017,3.0,0.263,0.754,0.556,1817,2601,1676,2400,600.2,0.004,0.048,0.154,599.944,0.003
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,1,5,per-start,120,4,0,0,8052,0.834,607,7222,8087,8656,4,0.095,9.5,0.251,0.742,0.556,4574,4541,3511,4800,600.3,0.014,0.193,0.462,599.55,0.006
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,1,5,per-start,120,7,0,0,14306,0.986,43,8840,8919,8964,3,0.655,70.29,0.23,0.824,0.635,8788,7314,6992,3120,482.81,0.055,0.947,1.303,479.271,0.011
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,1,5,per-start,120,12,0,0,20561,0.86,562,9009,9744,10478,54,0.4,63.17,0.176,0.899,0.741,11598,12392,8169,120,510.07,1.331,4.923,10.09,491.684,0.024
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,1,5,per-start,120,15,0,0,26898,0.841,570,9053,9796,10769,51,0.479,83.8,0.183,0.907,0.741,15946,15438,11460,1080,606.22,0.367,5.232,8.752,591.37,0.029
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,1,5,per-start,120,6,0,0,16026,0.9,312,7243,7694,8044,0,0.257,16.33,0.348,0.71,0.463,7650,10927,5099,13200,600.54,0.02,0.329,0.711,599.303,0.008
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,1,5,per-start,120,9,0,0,22503,0.878,381,8936,8988,10176,12,0.671,65.67,0.273,0.849,0.617,13061,13401,9102,5640,601.6,0.084,1.268,2.38,597.632,0.016
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,1,5,per-start,120,3,0,0,4988,0.86,542,7176,8303,8349,3,0.346,17.67,0.209,0.735,0.581,2605,3618,1370,2760,600.19,0.009,0.117,0.329,599.659,0.005
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,1,5,per-start,120,2,0,0,5738,0.999,2,7187,7189,7191,13,0.755,26.0,0.399,0.665,0.4,5207,914,4824,5760,600.09,0.003,0.03,0.11,599.881,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,1,5,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,3,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,470.08,0.003,0.015,0.058,469.944,0.002
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,1,5,per-start,120,25,0,0,60775,0.836,623,8993,10285,10754,91,0.335,92.68,0.24,0.939,0.714,33719,30823,29952,10560,616.67,1.013,14.68,23.21,576.826,0.048
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,2,5,per-start,105,2,0,0,8390,0.998,6,7189,7195,7201,8,0.214,18.5,0.583,0.667,0.278,6366,1975,6415,8400,525.11,0.002,0.019,0.068,524.936,0.002
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,2,5,per-start,120,2,0,0,4277,0.966,142,7996,8138,8281,0,0.017,3.0,0.263,0.754,0.556,1817,2601,1676,2400,600.2,0.004,0.048,0.168,599.93,0.003
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,2,5,per-start,120,4,0,0,7980,0.847,497,7218,8118,8526,3,0.079,8.75,0.25,0.74,0.556,4502,4541,3439,4800,600.31,0.015,0.2,0.461,599.545,0.006
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,2,5,per-start,120,7,0,0,14220,0.975,69,8739,8895,8961,0,0.466,79.29,0.229,0.823,0.635,8702,7314,6906,3720,482.97,0.058,0.833,1.674,478.948,0.012
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,2,5,per-start,120,12,0,0,20132,0.842,547,8787,9422,10438,33,0.565,72.17,0.173,0.896,0.741,11169,12392,7740,1440,509.87,1.164,4.866,9.72,492.096,0.025
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,2,5,per-start,120,15,0,0,27112,0.838,630,9005,9779,10751,66,0.457,113.33,0.184,0.908,0.741,16160,15438,11674,1320,606.2,0.408,5.175,8.84,591.282,0.029
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,2,5,per-start,120,6,0,0,16485,0.853,400,7194,7610,8429,0,0.358,15.5,0.355,0.717,0.463,8109,10927,5558,13200,600.52,0.026,0.33,0.7,599.3,0.007
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,2,5,per-start,120,9,0,0,21549,0.929,179,8783,9009,9451,10,0.414,56.56,0.264,0.839,0.617,12107,13401,8148,4920,601.67,0.091,1.313,2.441,597.58,0.016
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,2,5,per-start,120,3,0,0,4839,0.915,318,7444,8101,8134,0,0.11,4.0,0.204,0.731,0.581,2456,3618,1221,2760,600.21,0.008,0.119,0.323,599.692,0.004
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,2,5,per-start,120,2,0,0,5751,0.997,12,7184,7196,7207,4,0.595,25.0,0.4,0.666,0.4,5220,914,4837,5760,600.06,0.002,0.028,0.109,599.882,0.003
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,2,5,per-start,94,1,0,0,2024,1.0,0,7184,7184,7184,5,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,470.06,0.002,0.012,0.052,469.95,0.002
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,2,5,per-start,120,25,0,0,59601,0.838,500,8966,10107,10704,68,0.492,97.0,0.236,0.935,0.714,32545,30823,28778,8640,617.12,1.135,14.836,23.515,576.547,0.05
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,3,5,per-start,105,2,0,0,8420,0.997,12,7198,7210,7222,8,0.181,13.0,0.584,0.667,0.278,6396,1975,6445,8400,525.13,0.005,0.025,0.064,524.936,0.002
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,3,5,per-start,120,2,0,0,4289,0.967,136,8008,8144,8281,0,0.017,3.0,0.263,0.754,0.556,1829,2601,1688,2400,600.2,0.004,0.051,0.154,599.945,0.003
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,3,5,per-start,120,4,0,0,8224,0.873,469,7446,8126,8526,1,0.097,9.5,0.255,0.746,0.556,4746,4541,3683,4800,600.3,0.018,0.194,0.454,599.552,0.006
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,3,5,per-start,120,7,0,0,14778,0.989,28,8926,8971,9025,9,0.636,51.57,0.235,0.831,0.635,9260,7314,7464,3720,482.87,0.06,0.789,1.834,478.784,0.012
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,3,5,per-start,120,12,0,0,19985,0.841,552,9003,9506,10711,65,0.368,74.75,0.172,0.895,0.741,11022,12392,7593,840,509.82,2.65,4.877,9.455,492.22,0.03
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,3,5,per-start,120,15,0,0,27218,0.834,640,8970,9732,10758,79,0.479,98.13,0.185,0.909,0.741,16266,15438,11780,360,606.36,0.39,5.337,8.837,591.299,0.029
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,3,5,per-start,120,6,0,0,15174,0.922,214,7365,7460,7988,1,0.273,14.33,0.336,0.697,0.463,6798,10927,4247,13200,600.55,0.03,0.335,0.713,599.291,0.01
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,3,5,per-start,120,9,0,0,21529,0.972,69,8964,9038,9226,14,0.706,95.11,0.264,0.839,0.617,12087,13401,8128,4801,601.62,0.093,1.283,2.456,597.559,0.017
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,3,5,per-start,120,3,0,0,4514,0.823,681,7190,7426,8738,1,0.034,3.67,0.193,0.721,0.581,2131,3618,896,2760,600.21,0.008,0.121,0.314,599.702,0.005
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,3,5,per-start,120,2,0,0,5743,0.999,4,7188,7192,7195,4,0.687,28.0,0.399,0.666,0.4,5212,914,4829,5760,600.09,0.003,0.03,0.104,599.902,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,3,5,per-start,94,1,0,0,2024,1.0,0,7184,7184,7184,5,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,470.08,0.002,0.014,0.061,469.946,0.002
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,3,5,per-start,120,25,0,0,61256,0.862,485,9278,10270,10763,72,0.459,108.32,0.241,0.941,0.714,34200,30823,30433,9720,616.79,1.019,14.775,23.34,576.695,0.048
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,4,5,per-start,105,2,0,0,8420,0.997,12,7198,7210,7222,8,0.181,13.0,0.584,0.667,0.278,6396,1975,6445,8400,525.12,0.004,0.019,0.064,524.937,0.002
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,4,5,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,600.21,0.005,0.056,0.154,599.947,0.003
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,4,5,per-start,120,4,0,0,7898,0.872,395,7380,8025,8468,4,0.17,16.5,0.248,0.738,0.556,4420,4541,3357,4800,600.3,0.012,0.193,0.474,599.532,0.006
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,4,5,per-start,120,7,0,0,14055,0.969,89,8690,8888,8965,3,0.442,50.29,0.226,0.821,0.635,8537,7314,6741,3480,482.97,0.054,0.891,1.746,478.834,0.021
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,4,5,per-start,120,12,0,0,21148,0.823,579,8824,9930,10722,39,0.283,63.58,0.181,0.904,0.741,12185,12392,8756,2280,509.04,1.885,5.483,10.089,491.029,0.034
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,4,5,per-start,120,15,0,0,26587,0.838,724,8983,9760,10720,60,0.446,81.87,0.181,0.905,0.741,15635,15438,11149,1920,606.26,0.373,5.29,9.025,591.089,0.028
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,4,5,per-start,120,6,0,0,15627,0.912,274,7220,7684,7919,0,0.181,17.33,0.342,0.704,0.463,7251,10927,4700,13200,600.54,0.029,0.333,0.711,599.293,0.008
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,4,5,per-start,120,9,0,0,21457,0.927,209,8925,8971,9632,11,0.475,61.0,0.263,0.838,0.617,12015,13401,8056,5160,601.65,0.093,1.318,3.274,596.738,0.016
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,4,5,per-start,120,3,0,0,4723,0.873,479,7177,8166,8220,0,0.311,19.0,0.2,0.727,0.581,2340,3618,1105,2760,600.19,0.014,0.125,0.33,599.657,0.004
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,4,5,per-start,120,2,0,0,5739,0.999,2,7187,7190,7192,6,0.777,30.0,0.399,0.665,0.4,5208,914,4825,5760,600.06,0.002,0.029,0.111,599.88,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,4,5,per-start,94,1,0,0,2032,1.0,0,7192,7192,7192,3,0.0,0.0,0.283,0.666,0.478,1644,789,1243,2040,470.08,0.002,0.013,0.056,469.95,0.003
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,4,5,per-start,120,25,0,0,60319,0.863,433,9276,10179,10754,83,0.454,77.8,0.238,0.938,0.714,33263,30823,29496,11280,616.88,1.114,14.797,23.774,576.261,0.049
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,5,5,per-start,105,2,0,0,8420,0.997,12,7198,7210,7222,8,0.181,13.0,0.584,0.667,0.278,6396,1975,6445,8400,525.11,0.003,0.019,0.069,524.931,0.002
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,5,5,per-start,120,2,0,0,4289,0.967,136,8008,8144,8281,0,0.017,3.0,0.263,0.754,0.556,1829,2601,1688,2400,600.21,0.004,0.052,0.163,599.939,0.003
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,5,5,per-start,120,4,0,0,7825,0.87,445,7434,7925,8541,3,0.065,2.75,0.246,0.736,0.556,4347,4541,3284,4800,600.31,0.015,0.191,0.466,599.542,0.006
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,5,5,per-start,120,7,0,0,14159,0.983,50,8809,8883,8965,3,0.357,90.43,0.228,0.822,0.635,8641,7314,6845,3120,483.08,0.052,0.904,1.652,478.978,0.012
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,5,5,per-start,120,12,0,0,20879,0.842,662,9034,9481,10725,42,0.444,89.67,0.179,0.902,0.741,11916,12392,8487,960,509.43,2.171,5.167,8.958,492.354,0.029
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,5,5,per-start,120,15,0,0,27517,0.838,705,8995,9525,10739,61,0.652,87.2,0.187,0.911,0.741,16565,15438,12079,240,606.16,0.377,5.206,8.778,591.339,0.028
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,5,5,per-start,120,6,0,0,16238,0.863,389,7184,7745,8329,0,0.202,9.67,0.351,0.713,0.463,7862,10927,5311,13201,600.5,0.021,0.312,0.709,599.3,0.008
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,5,5,per-start,120,9,0,0,21644,0.926,210,8935,8987,9653,12,0.529,77.33,0.265,0.84,0.617,12202,13401,8243,5520,601.64,0.081,1.291,2.375,597.644,0.017
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,5,5,per-start,120,3,0,0,4612,0.814,714,7175,7464,8813,0,0.034,3.67,0.197,0.724,0.581,2229,3618,994,2760,600.18,0.008,0.121,0.325,599.663,0.005
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,5,5,per-start,120,2,0,0,5735,1.0,0,7187,7188,7188,10,0.644,26.5,0.399,0.665,0.4,5204,914,4821,5760,600.1,0.003,0.03,0.11,599.88,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,5,5,per-start,94,1,0,0,2027,1.0,0,7187,7187,7187,7,0.0,0.0,0.282,0.665,0.478,1639,789,1238,2040,470.08,0.002,0.015,0.056,469.947,0.002
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,5,5,per-start,120,25,0,0,60923,0.852,458,9158,10128,10749,91,0.488,154.16,0.24,0.94,0.714,33867,30823,30100,7800,616.58,1.049,14.565,23.073,576.961,0.05
