instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n100,100,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,3,,,,,1,1,per-start,120,2,0,0,4103,0.959,168,7884,8052,8219,3,3,0.017,3.0,0.255,0.746,0.556,1643,2601,1502,2400,120.04,0.003,0.007,0.02,119.98,0.001,0.0386
battery-n100,100,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,3,,,,,2,1,per-start,120,2,0,0,4019,0.812,830,7179,8010,8840,0,4,0.0,0.0,0.251,0.742,0.556,1559,2601,1418,2400,120.04,0.003,0.007,0.021,119.979,0.0,0.0299
battery-n100,100,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,3,,,,,3,1,per-start,120,2,0,0,4063,0.809,850,7182,8032,8881,0,13,0.0,0.0,0.253,0.744,0.556,1603,2601,1462,2400,120.0,0.003,0.007,0.021,119.945,0.0,0.0491
battery-n100,100,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,10,,,,,1,1,per-start,120,2,0,0,4082,0.808,853,7188,8041,8894,2,6,0.0,0.0,0.254,0.745,0.556,1622,2601,1481,2400,120.03,0.003,0.007,0.02,119.979,0.0,0.0188
battery-n100,100,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,10,,,,,2,1,per-start,120,2,0,0,3844,0.981,77,7845,7922,7999,0,3,0.017,3.0,0.243,0.734,0.556,1384,2601,1243,2400,120.04,0.003,0.007,0.02,119.979,0.001,0.0043
battery-n100,100,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,10,,,,,3,1,per-start,120,2,0,0,3845,0.832,726,7196,7922,8649,2,3,0.049,5.0,0.243,0.734,0.556,1385,2601,1244,2400,120.04,0.003,0.007,0.021,119.979,0.0,0.0
battery-n100,100,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,30,,,,,1,1,per-start,120,2,0,0,3852,0.993,26,7900,7926,7952,1,2,0.017,3.0,0.243,0.734,0.556,1392,2601,1251,2400,120.04,0.003,0.007,0.021,119.98,0.0,0.0052
battery-n100,100,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,30,,,,,2,1,per-start,120,2,0,0,3811,0.835,710,7196,7906,8615,0,3,0.049,5.0,0.241,0.732,0.556,1351,2601,1210,2400,120.04,0.003,0.007,0.021,119.978,0.001,0.0
battery-n100,100,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,67.3,30,,,,,3,1,per-start,120,2,0,0,3831,0.982,70,7845,7916,7986,2,3,0.017,3.0,0.242,0.732,0.556,1371,2601,1230,2400,120.04,0.003,0.007,0.021,119.979,0.0,0.0
battery-n200,200,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.19,0.016,0.105,0.109,119.891,0.001,0.0549
battery-n200,200,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,8254,0.937,231,7834,8028,8365,3,10,0.194,10.25,0.256,0.746,0.556,4776,4541,3713,4800,120.08,0.009,0.026,0.058,119.942,0.001,0.0502
battery-n200,200,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.11,0.009,0.026,0.059,119.94,0.001,0.0827
battery-n200,200,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,3,,,,,1,1,per-start,120,4,0,0,7400,0.829,528,7181,7780,8659,3,9,0.083,14.25,0.236,0.727,0.556,3922,4541,2859,4920,120.08,0.011,0.026,0.063,119.937,0.001,0.0224
battery-n200,200,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,3,,,,,2,1,per-start,120,4,0,0,7571,0.876,457,7304,7963,8341,3,8,0.209,31.0,0.24,0.731,0.556,4093,4541,3030,4800,120.08,0.009,0.026,0.061,119.938,0.001,0.0261
battery-n200,200,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,3,,,,,3,1,per-start,120,4,0,0,7785,0.884,373,7325,8086,8287,2,10,0.286,16.5,0.245,0.736,0.556,4307,4541,3244,4800,120.08,0.009,0.027,0.06,119.939,0.001,0.0337
battery-n200,200,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,10,,,,,1,1,per-start,120,4,0,0,7410,0.883,423,7363,7855,8337,2,11,0.39,42.5,0.236,0.727,0.556,3932,4541,2869,4800,120.08,0.009,0.027,0.06,119.94,0.001,0.0053
battery-n200,200,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,10,,,,,2,1,per-start,120,4,0,0,7723,0.855,515,7351,7886,8599,6,8,0.277,33.0,0.243,0.735,0.556,4245,4541,3182,4800,120.08,0.009,0.026,0.061,119.939,0.001,0.0052
battery-n200,200,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,10,,,,,3,1,per-start,120,4,0,0,7323,0.944,185,7693,7741,8148,2,7,0.594,26.5,0.234,0.725,0.556,3845,4541,2782,4800,120.08,0.009,0.026,0.06,119.941,0.001,0.0034
battery-n200,200,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,30,,,,,1,1,per-start,120,4,0,0,6916,0.888,328,7296,7700,8219,7,4,0.079,9.0,0.224,0.716,0.556,3438,4541,2375,4800,120.08,0.009,0.026,0.062,119.94,0.001,0.0015
battery-n200,200,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,30,,,,,2,1,per-start,120,4,0,0,7084,0.87,428,7199,7804,8276,6,9,0.065,2.75,0.228,0.72,0.556,3606,4541,2543,4800,120.09,0.009,0.026,0.059,119.94,0.001,0.0015
battery-n200,200,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,30,,,,,3,1,per-start,120,4,0,0,7433,0.858,442,7346,7762,8564,4,5,0.208,39.0,0.236,0.728,0.556,3955,4541,2892,4800,120.08,0.009,0.026,0.062,119.938,0.001,0.001
battery-n400,400,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,1,,,,,1,1,per-start,120,7,0,0,14251,0.976,87,8758,8938,8973,1,17,0.398,38.0,0.229,0.824,0.635,8733,7314,6937,3360,120.23,0.039,0.104,0.196,119.804,0.002,0.0323
battery-n400,400,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,1,,,,,2,1,per-start,120,7,0,0,14220,0.975,69,8739,8895,8961,0,18,0.466,79.29,0.229,0.823,0.635,8702,7314,6906,3720,120.22,0.035,0.104,0.199,119.802,0.002,0.0383
battery-n400,400,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,46.7,1,,,,,3,1,per-start,120,6,0,0,11942,0.86,497,9034,10187,10500,19,18,0.613,19.83,0.199,0.925,0.741,6410,7477,4465,0,120.25,0.036,0.103,0.204,119.798,0.002,0.0001
