instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,1,5,total,21,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.11,0.004,0.023,0.063,104.941,0.002
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,1,5,total,24,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,120.13,0.005,0.06,0.16,119.844,0.003
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,1,5,total,24,4,0,0,8033,0.782,729,7003,8037,8956,2,0.124,6.25,0.251,0.742,0.556,4555,4541,3492,4800,120.33,0.024,0.207,0.455,119.549,0.006
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,1,5,total,24,6,0,0,13586,0.928,289,9808,10380,10570,4,0.208,21.33,0.221,0.95,0.741,8054,7477,6109,720,121.06,0.056,0.821,1.495,118.507,0.011
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,1,5,total,24,12,0,0,22483,0.687,882,7370,10002,10726,25,0.47,47.17,0.19,0.914,0.741,13520,12392,10091,2640,124.01,0.217,3.369,5.555,114.452,0.024
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,1,5,total,24,15,0,0,30786,0.705,798,7572,10336,10744,28,0.537,98.67,0.204,0.931,0.741,19834,15438,15348,3240,126.05,0.323,5.224,8.576,111.441,0.031
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,1,5,total,24,5,0,0,16106,0.712,1133,7407,9266,10404,1,0.21,16.6,0.349,0.854,0.556,7696,11132,4974,6000,120.51,0.021,0.311,0.652,119.351,0.007
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,1,5,total,24,8,0,0,21703,0.842,579,8971,10442,10660,1,0.382,49.62,0.266,0.946,0.694,12241,13517,8186,1200,121.56,0.078,1.276,2.304,117.707,0.016
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,1,5,total,24,3,0,0,4267,0.795,758,6943,7426,8738,0,0.034,3.67,0.185,0.713,0.581,1884,3618,649,2760,120.22,0.009,0.129,0.326,119.681,0.005
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,1,5,total,24,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.08,0.003,0.032,0.104,119.897,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,1,5,total,18,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,90.06,0.001,0.012,0.048,89.962,0.002
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,1,5,total,24,25,0,0,65802,0.836,520,9010,10624,10773,42,0.468,152.56,0.254,0.958,0.714,38746,30823,34979,11280,135.51,0.922,13.569,20.887,99.173,0.044
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,2,5,total,21,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.11,0.002,0.018,0.062,104.938,0.002
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,2,5,total,24,2,0,0,4274,0.654,1704,6433,8137,9841,0,0.03,5.0,0.263,0.754,0.556,1814,2601,1673,2400,120.12,0.005,0.057,0.163,119.84,0.003
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,2,5,total,24,4,0,0,7878,0.792,750,7088,7921,8948,4,0.074,4.25,0.247,0.738,0.556,4400,4541,3337,4800,120.32,0.016,0.212,0.47,119.533,0.006
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,2,5,total,24,6,0,0,13032,0.866,498,9259,10344,10688,6,0.355,42.17,0.214,0.942,0.741,7500,7477,5555,0,121.06,0.057,0.824,1.608,118.396,0.012
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,2,5,total,24,12,0,0,23300,0.731,997,7852,10320,10738,18,0.273,64.67,0.195,0.921,0.741,14337,12392,10908,2160,123.97,0.242,3.343,5.74,114.268,0.022
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,2,5,total,24,15,0,0,30109,0.746,770,8015,10314,10751,25,0.556,79.67,0.201,0.927,0.741,19157,15438,14671,1800,126.1,0.347,5.238,8.857,111.16,0.031
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,2,5,total,24,5,0,0,15169,0.652,1278,6882,9484,10559,0,0.06,4.2,0.336,0.836,0.556,6759,11132,4037,6000,120.48,0.022,0.31,0.692,119.311,0.007
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,2,5,total,24,8,0,0,21123,0.88,394,9434,10130,10717,1,0.451,45.62,0.26,0.939,0.694,11661,13517,7606,1081,121.62,0.109,1.29,2.423,117.586,0.014
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,2,5,total,24,3,0,0,4260,0.794,761,6937,7425,8738,0,0.034,3.67,0.184,0.713,0.581,1877,3618,642,2760,120.2,0.009,0.127,0.317,119.687,0.005
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,2,5,total,24,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.08,0.002,0.034,0.11,119.892,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,2,5,total,18,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,90.06,0.002,0.011,0.051,89.964,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,2,5,total,24,25,0,0,65827,0.646,742,6948,10626,10751,51,0.512,107.2,0.254,0.958,0.714,38771,30823,35004,11640,135.68,1.019,13.639,22.063,97.985,0.047
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,3,5,total,21,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.11,0.002,0.027,0.062,104.941,0.002
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,3,5,total,24,2,0,0,4256,0.652,1713,6415,8128,9841,0,0.03,5.0,0.262,0.752,0.556,1796,2601,1655,2400,120.12,0.004,0.051,0.168,119.839,0.003
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,3,5,total,24,4,0,0,8012,0.861,474,7575,7820,8798,0,0.185,13.25,0.25,0.741,0.556,4534,4541,3471,5160,120.33,0.018,0.208,0.486,119.516,0.006
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,3,5,total,24,6,0,0,13485,0.811,709,8712,10540,10747,3,0.489,15.33,0.219,0.949,0.741,7953,7477,6008,121,121.07,0.062,0.824,1.544,118.462,0.012
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,3,5,total,24,12,0,0,23000,0.63,1221,6755,10456,10729,21,0.325,48.33,0.193,0.918,0.741,14037,12392,10608,3840,124.04,0.218,3.372,5.543,114.474,0.025
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,3,5,total,24,15,0,0,30512,0.609,1019,6549,10247,10757,31,0.453,85.33,0.203,0.929,0.741,19560,15438,15074,2520,126.12,0.339,5.305,8.695,111.322,0.03
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,3,5,total,24,5,0,0,16166,0.674,1220,6882,9668,10211,1,0.167,13.2,0.35,0.855,0.556,7756,11132,5034,6000,120.5,0.02,0.322,0.657,119.348,0.008
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,3,5,total,24,8,0,0,22490,0.857,446,9228,10392,10770,3,0.473,42.38,0.273,0.955,0.694,13028,13517,8973,1680,121.73,0.078,1.284,2.37,117.774,0.016
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,3,5,total,24,3,0,0,4503,0.819,640,6921,7967,8455,0,0.048,4.0,0.193,0.721,0.581,2120,3618,885,2760,120.23,0.009,0.146,0.331,119.672,0.005
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,3,5,total,24,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.08,0.003,0.029,0.103,119.899,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,3,5,total,18,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,90.06,0.001,0.011,0.048,89.968,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,3,5,total,24,25,0,0,64901,0.781,573,8411,10564,10770,39,0.467,134.72,0.252,0.955,0.714,37845,30823,34078,12000,135.51,0.96,13.567,20.799,99.281,0.045
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,4,5,total,21,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,105.11,0.002,0.019,0.063,104.939,0.002
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,4,5,total,24,2,0,0,4173,0.66,1654,6433,8086,9740,0,0.03,5.0,0.258,0.749,0.556,1713,2601,1572,2400,120.12,0.004,0.056,0.162,119.84,0.004
