instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,35.4,3,12,0,0,21037,0.752,871,8084,9960,10744,3,0.245,23.92,0.18,0.903,0.741,12074,12392,8645,1920,120.98,0.193,0.539,0.964,119.038,0.005
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,35.4,4,12,0,0,22259,0.664,1009,7093,10232,10683,2,0.365,56.67,0.188,0.913,0.741,13296,12392,9867,2520,121.09,0.202,0.554,0.908,119.168,0.004
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,35.4,5,12,0,0,21997,0.706,895,7597,10114,10764,6,0.553,60.92,0.186,0.91,0.741,13034,12392,9605,1320,120.95,0.195,0.536,0.99,119.016,0.004
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,34.7,1,15,0,0,26589,0.739,906,7933,10008,10737,7,0.589,52.53,0.181,0.905,0.741,15637,15438,11151,1561,121.45,0.303,0.85,1.411,118.593,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,34.7,2,14,0,0,28351,0.929,211,9999,10654,10767,9,0.566,71.0,0.191,0.981,0.794,17388,15529,12822,0,121.49,0.314,0.863,1.448,118.563,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,34.7,3,15,0,0,27238,0.78,863,8366,10207,10721,9,0.483,83.2,0.185,0.909,0.741,16286,15438,11800,480,121.43,0.294,0.839,1.395,118.61,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,34.7,4,15,0,0,27344,0.638,1232,6861,10292,10762,11,0.324,32.0,0.186,0.909,0.741,16392,15438,11906,3840,121.47,0.29,0.883,1.537,118.468,0.005
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,34.7,5,15,0,0,26032,0.628,1036,6762,10153,10764,6,0.413,46.87,0.178,0.901,0.741,15080,15438,10594,2040,121.48,0.304,0.852,1.398,118.605,0.005
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,85.8,1,5,0,0,16623,0.751,868,7921,9181,10551,2,0.213,16.4,0.357,0.863,0.556,8213,11132,5491,6000,120.15,0.022,0.054,0.111,119.892,0.001
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,85.8,2,5,0,0,16319,0.581,1607,6230,10113,10719,0,0.255,20.2,0.352,0.858,0.556,7909,11132,5187,6120,120.14,0.02,0.054,0.106,119.886,0.001
