instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,35.4,4,12,0,0,22259,0.664,1009,7093,10232,10683,2,0.365,56.67,0.188,0.913,0.741,13296,12392,9867,2520,121.12,0.198,0.549,1.004,119.108,0.004
battery-n800,800,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,35.4,5,12,0,0,21997,0.706,895,7597,10114,10764,6,0.553,60.92,0.186,0.91,0.741,13034,12392,9605,1320,120.96,0.197,0.534,1.088,118.917,0.004
battery-n1000,1000,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,34.7,1,15,0,0,26589,0.739,906,7933,10008,10737,7,0.589,52.53,0.181,0.905,0.741,15637,15438,11151,1561,121.45,0.301,0.845,1.534,118.477,0.005
battery-n1000,1000,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,34.7,2,15,0,0,26874,0.638,1149,6868,10244,10767,6,0.426,59.73,0.183,0.907,0.741,15922,15438,11436,2880,121.48,0.314,0.854,1.623,118.381,0.005
battery-n1000,1000,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,34.7,3,15,0,0,27202,0.784,818,8406,10207,10721,9,0.483,83.33,0.185,0.909,0.741,16250,15438,11764,360,121.43,0.302,0.829,1.564,118.44,0.005
battery-n1000,1000,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,34.7,4,15,0,0,27344,0.638,1232,6861,10292,10762,11,0.324,32.0,0.186,0.909,0.741,16392,15438,11906,3840,121.51,0.313,0.908,1.621,118.394,0.006
battery-n1000,1000,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,34.7,5,15,0,0,25921,0.628,1050,6762,10153,10764,8,0.382,49.67,0.178,0.901,0.741,14969,15438,10483,2040,121.49,0.317,0.856,1.62,118.384,0.005
battery-sparse-n250,250,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,85.8,1,5,0,0,16623,0.751,868,7921,9181,10551,2,0.213,16.4,0.357,0.863,0.556,8213,11132,5491,6000,120.15,0.02,0.057,0.126,119.877,0.001
battery-sparse-n250,250,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,85.8,2,5,0,0,16319,0.581,1607,6230,10113,10719,0,0.255,20.2,0.352,0.858,0.556,7909,11132,5187,6120,120.15,0.024,0.058,0.132,119.86,0.001
battery-sparse-n250,250,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,85.8,3,5,0,0,15145,0.625,1473,6733,9496,10770,1,0.344,14.8,0.335,0.836,0.556,6735,11132,4013,6120,120.15,0.02,0.056,0.126,119.876,0.001
battery-sparse-n250,250,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,85.8,4,5,0,0,15731,0.712,1060,7246,9560,10179,0,0.238,20.2,0.344,0.847,0.556,7321,11132,4599,6000,120.18,0.019,0.053,0.132,119.87,0.002
battery-sparse-n250,250,config,feasible-floor-b095-stops5,spatial_term,feasible-floor-b095-stops5,0,3,10000,,0,False,0.0,85.8,5,5,0,0,15352,0.653,1234,6842,9346,10473,1,0.075,2.6,0.339,0.84,0.556,6942,11132,4220,6000,120.21,0.022,0.065,0.136,119.907,0.001
