route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,2,7671,240,7431,0.969,0,0.71,0
2,61,8821,7320,1501,0.17,0,0.817,0
3,67,10340,8040,2300,0.222,0,0.957,0
4,62,10694,7440,3254,0.304,0,0.99,2
5,63,10747,7560,3187,0.297,0,0.995,0
6,63,10698,7560,3138,0.293,0,0.991,1
7,64,10540,7680,2860,0.271,0,0.976,0
8,73,10533,8760,1773,0.168,0,0.975,0
9,73,10650,8760,1890,0.177,0,0.986,0
10,68,9818,8160,1658,0.169,0,0.909,0
11,67,10028,8040,1988,0.198,0,0.929,0
12,73,10258,8760,1498,0.146,0,0.95,1
13,67,10041,8040,2001,0.199,0,0.93,0
14,61,10278,7320,2958,0.288,0,0.952,1
15,64,10371,7680,2691,0.259,0,0.96,3
16,70,9957,8400,1557,0.156,0,0.922,0
17,69,10739,8280,2459,0.229,0,0.994,0
18,75,10409,9000,1409,0.135,0,0.964,0
19,73,10474,8760,1714,0.164,0,0.97,1
20,79,10500,9480,1020,0.097,0,0.972,0
21,73,9892,8760,1132,0.114,0,0.916,0
22,56,9488,6720,2768,0.292,0,0.879,0
23,61,10376,7320,3056,0.295,0,0.961,0
24,52,7606,6240,1366,0.18,0,0.704,0
25,71,10228,8520,1708,0.167,0,0.947,1
summary,1607,251157,192840,58317,0.232,0,0.93,10
