instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,35.4,2,12,0,0,21497,0.391,1720,4144,10335,10596,6,0.35,61.67,0.183,0.907,0.741,12534,12392,9105,3960,128.7,1.542,3.733,3.778,116.248,0.079
battery-n800,800,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,35.4,3,12,0,0,21573,0.604,1416,6466,10348,10704,2,0.509,40.0,0.183,0.907,0.741,12610,12392,9181,3960,143.93,0.933,1.127,3.198,117.989,0.603
battery-n800,800,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,35.4,4,12,0,0,22554,0.625,1094,6661,10334,10660,5,0.372,59.25,0.19,0.915,0.741,13591,12392,10162,3240,130.98,3.757,1.961,8.031,112.51,0.153
battery-n800,800,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,35.4,5,12,0,0,23528,0.755,948,8112,10403,10744,17,0.403,57.92,0.197,0.922,0.741,14565,12392,11136,1800,129.95,5.137,0.681,5.165,114.631,0.094
battery-n1000,1000,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,34.7,1,15,0,0,26950,0.755,693,8077,9927,10694,5,0.568,51.13,0.183,0.907,0.741,15998,15438,11512,1080,121.19,0.224,0.676,1.14,118.861,0.005
battery-n1000,1000,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,34.7,2,14,0,0,27978,0.929,243,9999,10698,10767,9,0.327,55.79,0.189,0.979,0.794,17015,15529,12449,0,121.43,0.226,0.644,1.12,119.177,0.004
battery-n1000,1000,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,34.7,3,15,0,0,27009,0.629,1071,6737,10250,10704,4,0.434,76.27,0.184,0.908,0.741,16057,15438,11571,2280,121.13,0.222,0.658,1.127,118.875,0.004
battery-n1000,1000,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,34.7,4,15,0,0,26585,0.557,1482,5977,10538,10730,11,0.328,29.87,0.181,0.905,0.741,15633,15438,11147,4320,121.13,0.224,0.66,1.125,118.878,0.004
battery-n1000,1000,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,34.7,5,14,0,0,27591,0.895,308,9632,10674,10764,6,0.464,67.07,0.187,0.976,0.794,16628,15529,12062,0,121.1,0.218,0.66,1.124,118.878,0.004
battery-sparse-n250,250,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,85.8,1,5,0,0,15812,0.346,2722,3729,10357,10767,0,0.129,12.0,0.345,0.848,0.556,7402,11132,4680,6240,120.11,0.014,0.039,0.088,119.912,0.001
battery-sparse-n250,250,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,85.8,2,5,0,0,15212,0.738,1019,7584,8851,10276,1,0.42,18.6,0.336,0.837,0.556,6802,11132,4080,6000,120.09,0.015,0.04,0.089,119.871,0.001
battery-sparse-n250,250,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,85.8,3,5,0,0,15333,0.662,1224,6733,9430,10172,1,0.322,9.0,0.338,0.839,0.556,6923,11132,4201,6000,120.11,0.014,0.04,0.088,119.91,0.001
battery-sparse-n250,250,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,85.8,4,5,0,0,15361,0.401,2432,4298,10357,10731,2,0.196,4.4,0.339,0.84,0.556,6951,11132,4229,6360,120.11,0.014,0.04,0.087,119.912,0.001
battery-sparse-n250,250,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,85.8,5,5,0,0,15232,0.657,1189,6842,9368,10418,2,0.346,11.2,0.337,0.838,0.556,6822,11132,4100,6000,120.12,0.014,0.047,0.09,119.909,0.001
battery-sparse-n500,500,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,56.9,1,8,0,0,22495,0.855,550,9182,10596,10738,1,0.314,36.25,0.273,0.955,0.694,13033,13517,8978,960,120.33,0.053,0.169,0.319,119.679,0.002
battery-sparse-n500,500,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,56.9,2,8,0,0,22447,0.891,434,9580,10427,10754,1,0.296,49.88,0.272,0.954,0.694,12985,13517,8930,840,120.35,0.053,0.17,0.321,119.679,0.002
battery-sparse-n500,500,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,56.9,3,8,0,0,20648,0.771,905,8291,10642,10757,4,0.454,22.12,0.256,0.933,0.694,11186,13517,7131,1200,120.33,0.054,0.164,0.32,119.68,0.002
battery-sparse-n500,500,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,56.9,4,8,0,0,21832,0.916,262,9721,10231,10608,1,0.257,52.62,0.267,0.947,0.694,12370,13517,8315,1200,120.35,0.054,0.165,0.317,119.683,0.002
battery-sparse-n500,500,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,56.9,5,8,0,0,22354,0.798,666,8558,10498,10725,3,0.385,35.75,0.271,0.953,0.694,12892,13517,8837,1080,120.34,0.054,0.164,0.316,119.685,0.002
area-26-n157,157,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,48.1,1,3,0,0,4491,0.577,1876,5987,6976,10368,0,0.155,10.67,0.192,0.72,0.581,2108,3618,873,3240,120.06,0.006,0.016,0.044,119.956,0.001
area-26-n157,157,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,48.1,2,3,0,0,4246,0.79,772,6914,7425,8747,0,0.034,3.67,0.184,0.713,0.581,1863,3618,628,2760,120.07,0.009,0.016,0.044,119.954,0.001
area-26-n157,157,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,48.1,3,3,0,0,4375,0.832,592,6926,7967,8322,0,0.048,4.0,0.188,0.717,0.581,1992,3618,757,2760,120.06,0.006,0.017,0.05,119.949,0.001
area-26-n157,157,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,48.1,4,3,0,0,4413,0.65,1515,6412,6971,9869,0,0.104,9.0,0.19,0.718,0.581,2030,3618,795,3721,120.07,0.008,0.016,0.043,119.955,0.001
area-26-n157,157,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,48.1,5,3,0,0,4443,0.578,1881,5987,6932,10364,0,0.155,10.67,0.191,0.719,0.581,2060,3618,825,3240,64.25,0.007,0.016,0.047,64.136,0.001
area-27-n72,72,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,29.8,1,1,0,0,1504,1.0,0,10144,10144,10144,0,0.0,0.0,0.148,0.939,0.8,965,1303,201,0,60.0,0.003,0.004,0.015,59.952,0.0
area-27-n72,72,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,29.8,2,1,0,0,1504,1.0,0,10144,10144,10144,0,0.0,0.0,0.148,0.939,0.8,965,1303,201,0,34.77,0.004,0.004,0.015,34.726,0.0
area-27-n72,72,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,29.8,3,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,55.24,0.002,0.005,0.015,55.194,0.0
area-27-n72,72,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,29.8,4,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,60.0,0.002,0.004,0.016,59.959,0.0
area-27-n72,72,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,29.8,5,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,46.18,0.002,0.004,0.016,46.116,0.0
area-29-n43,43,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,43.81,0.002,0.002,0.011,43.783,0.0
area-29-n43,43,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,30.02,0.001,0.002,0.007,29.989,0.0
area-29-n43,43,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,60.01,0.001,0.002,0.009,59.982,0.0
area-29-n43,43,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,27.6,4,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.007,93.993,0.0
area-29-n43,43,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,27.6,5,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.005,0.011,93.989,0.0
reference-n1607,1607,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,44.1,1,25,0,1,55954,0.011,2054,120,10423,10745,21,0.465,101.36,0.225,0.921,0.714,28898,30823,25131,9960,122.71,0.611,1.692,2.813,117.191,0.006
reference-n1607,1607,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,44.1,2,25,0,1,55592,0.011,2054,120,10556,10767,26,0.486,89.6,0.224,0.92,0.714,28536,30823,24769,10800,122.74,0.58,1.703,2.797,117.265,0.006
reference-n1607,1607,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,44.1,3,25,0,0,62949,0.346,1357,3710,10625,10725,27,0.734,84.6,0.246,0.947,0.714,35893,30823,32126,12840,122.66,0.579,1.686,2.854,117.152,0.006
reference-n1607,1607,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,44.1,4,25,0,0,61881,0.524,1003,5644,10523,10761,19,0.571,105.84,0.243,0.943,0.714,34825,30823,31058,11040,122.65,0.573,1.687,2.864,117.141,0.006
reference-n1607,1607,config,no-floor-stops10,spatial_term,no-floor-stops10,0,3,,0,False,0.0,44.1,5,25,0,1,54641,0.011,2049,120,10452,10769,18,0.397,137.52,0.221,0.917,0.714,27585,30823,23818,10440,122.67,0.592,1.684,2.741,117.265,0.006
