instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,4,12,0,0,24323,0.844,536,9033,10032,10701,73,0.318,91.0,0.202,0.928,0.741,15360,12392,11931,1560,131.05,3.88,1.999,7.693,112.745,0.087
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,5,12,0,0,23767,0.837,666,8958,10256,10708,79,0.389,91.83,0.198,0.924,0.741,14804,12392,11375,121,129.73,5.012,0.647,5.121,114.696,0.137
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,1,15,0,0,27263,0.839,613,8982,9842,10702,72,0.571,83.2,0.185,0.909,0.741,16311,15438,11825,2401,121.18,0.218,0.658,1.121,118.884,0.005
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,2,15,0,0,26107,0.841,613,9014,9662,10719,57,0.552,104.53,0.179,0.902,0.741,15155,15438,10669,960,121.12,0.224,0.639,1.158,118.844,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,3,15,0,0,26912,0.84,554,8981,9742,10698,61,0.386,92.67,0.183,0.907,0.741,15960,15438,11474,1560,121.13,0.222,0.662,1.089,118.912,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,4,15,0,0,25944,0.845,588,8983,9462,10631,80,0.444,59.33,0.178,0.901,0.741,14992,15438,10506,720,121.12,0.23,0.656,1.091,118.91,0.004
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,5,15,0,0,25755,0.836,699,8993,9579,10751,53,0.493,78.87,0.177,0.9,0.741,14803,15438,10317,600,121.09,0.225,0.649,1.099,118.906,0.004
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,1,6,0,0,16044,0.92,247,7332,7786,7967,2,0.329,10.17,0.348,0.711,0.463,7668,10927,5117,13200,120.11,0.014,0.043,0.085,119.915,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,2,5,0,0,15708,0.963,123,8975,9156,9324,8,0.133,19.8,0.344,0.846,0.556,7298,11132,4576,6000,120.09,0.014,0.043,0.084,119.88,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,3,5,0,0,15191,0.961,131,8896,8975,9254,2,0.366,35.4,0.336,0.837,0.556,6781,11132,4059,6000,120.12,0.014,0.048,0.082,119.916,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,4,6,0,0,16756,0.854,486,7245,7652,8482,3,0.373,16.5,0.358,0.722,0.463,8380,10927,5829,13200,120.11,0.014,0.045,0.083,119.916,0.001
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,5,6,0,0,15657,0.908,261,7328,7536,8067,0,0.381,18.0,0.343,0.705,0.463,7281,10927,4730,13200,120.12,0.014,0.046,0.087,119.912,0.001
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,1,9,0,0,21287,0.945,141,8900,8984,9414,4,0.567,60.56,0.262,0.836,0.617,11845,13401,7886,5040,120.34,0.055,0.173,0.295,119.707,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,2,8,0,0,20256,0.845,500,9095,10012,10759,21,0.389,29.25,0.252,0.929,0.694,10794,13517,6739,840,120.36,0.056,0.169,0.3,119.699,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,3,9,0,0,21097,0.986,44,8960,9008,9087,6,0.576,45.67,0.26,0.834,0.617,11655,13401,7696,4800,120.33,0.06,0.161,0.3,119.7,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,4,8,0,0,19515,0.861,488,9145,10008,10621,18,0.243,50.0,0.245,0.92,0.694,10053,13517,5998,1560,120.33,0.053,0.163,0.303,119.702,0.002
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,5,9,0,0,21363,0.98,58,8972,9036,9157,14,0.616,80.56,0.263,0.837,0.617,11921,13401,7962,5040,120.34,0.055,0.162,0.303,119.696,0.002
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,1,3,0,0,4962,0.876,456,7294,8186,8322,0,0.042,2.67,0.208,0.735,0.581,2579,3618,1344,2760,120.06,0.006,0.016,0.044,119.955,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,2,3,0,0,5435,0.894,377,7682,8001,8592,0,0.338,36.67,0.224,0.749,0.581,3052,3618,1817,2760,120.06,0.006,0.016,0.045,119.953,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,3,3,0,0,4965,0.832,593,7178,8000,8627,1,0.11,6.33,0.209,0.735,0.581,2582,3618,1347,2760,120.07,0.01,0.017,0.048,119.952,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,4,3,0,0,4954,0.871,486,7246,8226,8322,0,0.042,2.67,0.208,0.735,0.581,2571,3618,1336,2760,120.06,0.006,0.016,0.046,119.953,0.001
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,5,3,0,0,5395,0.882,413,7542,8145,8548,1,0.443,23.0,0.223,0.748,0.581,3012,3618,1777,2760,64.55,0.006,0.016,0.047,64.44,0.001
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,1,2,0,0,5757,0.997,10,7189,7198,7208,17,0.498,13.0,0.4,0.667,0.4,5226,914,4843,5760,60.0,0.002,0.004,0.015,59.957,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,2,2,0,0,5751,0.997,12,7184,7196,7207,4,0.595,25.0,0.4,0.666,0.4,5220,914,4837,5760,34.77,0.002,0.006,0.014,34.727,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,3,2,0,0,5738,0.999,2,7187,7189,7191,13,0.755,26.0,0.399,0.665,0.4,5207,914,4824,5760,55.24,0.003,0.007,0.014,55.197,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,4,2,0,0,5734,0.999,4,7183,7187,7191,10,0.791,29.5,0.399,0.665,0.4,5203,914,4820,5760,60.0,0.002,0.004,0.014,59.961,0.0
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,5,2,0,0,5736,0.999,2,7186,7188,7190,10,0.374,12.0,0.399,0.665,0.4,5205,914,4822,5760,46.17,0.002,0.004,0.014,46.118,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,1,1,0,0,2025,1.0,0,7185,7185,7185,2,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,43.83,0.001,0.003,0.011,43.798,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,2,1,0,0,2024,1.0,0,7184,7184,7184,5,0.0,0.0,0.282,0.665,0.478,1636,789,1235,2040,30.03,0.003,0.001,0.006,29.981,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,3,1,0,0,2028,1.0,0,7188,7188,7188,5,0.0,0.0,0.282,0.666,0.478,1640,789,1239,2040,60.0,0.001,0.002,0.009,59.968,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,4,1,0,0,2035,1.0,0,7195,7195,7195,4,0.0,0.0,0.283,0.666,0.478,1647,789,1246,2040,94.02,0.002,0.002,0.008,93.992,0.0
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,5,1,0,0,2025,1.0,0,7185,7185,7185,4,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,94.02,0.002,0.002,0.008,93.992,0.0
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,1,25,0,0,61269,0.836,510,9002,10173,10767,91,0.385,120.56,0.241,0.941,0.714,34213,30823,30446,7920,122.69,0.6,1.703,2.688,117.316,0.006
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,2,25,0,0,61387,0.846,503,9075,10302,10727,77,0.49,85.32,0.241,0.942,0.714,34331,30823,30564,10080,122.7,0.586,1.68,2.737,117.304,0.006
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,3,25,0,0,60042,0.84,558,9014,10145,10728,72,0.456,108.32,0.237,0.937,0.714,32986,30823,29219,9120,122.65,0.585,1.668,2.67,117.335,0.006
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,4,25,0,0,58253,0.826,537,8876,10153,10744,68,0.458,102.76,0.232,0.93,0.714,31197,30823,27430,10080,122.66,0.579,1.684,2.695,117.31,0.006
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,5,25,0,0,60702,0.844,565,9093,10358,10770,52,0.493,152.28,0.239,0.939,0.714,33646,30823,29879,9840,122.66,0.595,1.677,2.683,117.323,0.006
