instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,1,8,0,0,21664,0.875,439,9361,10335,10693,4,0.295,23.62,0.265,0.945,0.694,12202,600,120.41,0.056,0.227,0.343,119.66,0.002
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,2,8,0,0,21664,0.875,439,9361,10335,10693,4,0.295,23.62,0.265,0.945,0.694,12202,600,120.38,0.056,0.211,0.335,119.667,0.002
battery-sparse-n500,500,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,56.9,3,8,0,0,21664,0.875,439,9361,10335,10693,4,0.295,23.62,0.265,0.945,0.694,12202,600,120.38,0.056,0.207,0.337,119.666,0.002
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,1,3,0,0,4417,0.832,593,6943,7967,8346,0,0.048,4.0,0.19,0.718,0.581,2034,2761,120.08,0.006,0.018,0.048,119.954,0.001
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,2,3,0,0,4417,0.832,593,6943,7967,8346,0,0.048,4.0,0.19,0.718,0.581,2034,2761,119.96,0.006,0.017,0.048,119.856,0.001
area-26-n157,157,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,48.1,3,3,0,0,4417,0.832,593,6943,7967,8346,0,0.048,4.0,0.19,0.718,0.581,2034,2761,120.06,0.006,0.019,0.048,119.952,0.001
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,1,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,0,120.03,0.002,0.004,0.016,119.983,0.0
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,2,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,0,120.03,0.002,0.004,0.016,119.983,0.0
area-27-n72,72,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,29.8,3,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,0,120.03,0.002,0.004,0.016,119.983,0.0
area-29-n43,43,config,feasible-floor-b060-stops10,spatial_term,feasible-floor-b060-stops10,0,3,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,94.02,0.001,0.002,0.008,93.992,0.0
