route,n_trees,duration_sec,service_total_sec,travel_sec,walk_ratio,shortfall_sec,saturation,self_crossings
1,69,10068,8280,1788,0.178,0,0.932,0
2,46,9915,5520,4395,0.443,0,0.918,0
3,62,9986,7440,2546,0.255,0,0.925,0
4,67,9671,8040,1631,0.169,0,0.895,0
5,51,9015,6120,2895,0.321,0,0.835,1
6,64,10770,7679,3091,0.287,0,0.997,1
7,61,9443,7320,2123,0.225,0,0.874,0
8,73,10322,8760,1562,0.151,0,0.956,0
9,61,9013,7320,1693,0.188,0,0.835,0
10,79,10670,9480,1190,0.112,0,0.988,0
11,26,10410,3120,7290,0.7,0,0.964,0
12,68,10619,8160,2459,0.232,0,0.983,2
13,69,10409,8280,2129,0.205,0,0.964,0
14,67,10701,8040,2661,0.249,0,0.991,0
15,68,10129,8160,1969,0.194,0,0.938,0
16,66,10047,7920,2127,0.212,0,0.93,0
17,75,10609,9000,1609,0.152,0,0.982,0
18,74,10723,8880,1843,0.172,0,0.993,0
19,78,10753,9360,1393,0.13,0,0.996,0
20,50,9020,6000,3020,0.335,0,0.835,0
21,75,10673,9000,1673,0.157,0,0.988,1
22,69,10468,8280,2188,0.209,0,0.969,0
23,57,9302,6840,2462,0.265,0,0.861,0
24,74,10302,8880,1422,0.138,0,0.954,1
25,58,10201,6960,3241,0.318,0,0.945,0
summary,1607,253239,192839,60400,0.239,0,0.938,6
