instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n400,400,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,46.7,,,,greedy,5,1,per-start,120,7,0,0,14582,0.982,51,8876,8944,9037,7,0.362,60.57,0.233,0.828,0.635,9064,7314,7268,3000,120.27,0.036,0.108,0.007,120.004,0.002
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,1,1,per-start,120,14,0,0,31022,0.975,53,8993,9065,9222,35,0.784,216.71,0.244,0.84,0.635,22082,12208,18814,7081,120.79,0.149,0.433,0.021,120.006,0.003
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,2,1,per-start,120,14,0,0,31030,0.977,50,8993,9065,9207,37,0.784,216.71,0.244,0.84,0.635,22090,12208,18822,7201,120.81,0.145,0.43,0.02,120.007,0.003
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,3,1,per-start,120,14,0,0,31022,0.975,53,8993,9065,9222,35,0.784,216.71,0.244,0.84,0.635,22082,12208,18814,7081,120.79,0.148,0.434,0.021,120.006,0.003
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,4,1,per-start,120,14,0,0,31031,0.975,61,8974,9065,9207,37,0.784,216.71,0.244,0.84,0.635,22091,12208,18823,7201,120.86,0.145,0.444,0.02,120.01,0.005
battery-n800,800,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,35.4,,,,greedy,5,1,per-start,120,14,0,0,31043,0.963,88,8974,9060,9318,36,0.784,216.71,0.244,0.84,0.635,22103,12208,18835,7201,120.84,0.157,0.457,0.022,120.007,0.004
battery-n1000,1000,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,greedy,1,1,per-start,120,16,0,0,31966,0.834,600,8968,9208,10758,58,0.65,163.25,0.21,0.879,0.694,21025,15350,16616,2280,121.16,0.229,0.691,0.029,119.934,0.004
battery-n1000,1000,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,greedy,2,1,per-start,120,16,0,0,31966,0.834,600,8968,9208,10758,58,0.65,163.25,0.21,0.879,0.694,21025,15350,16616,2280,121.22,0.24,0.684,0.029,120.006,0.004
battery-n1000,1000,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,greedy,3,1,per-start,120,16,0,0,31968,0.834,600,8970,9208,10758,58,0.65,163.25,0.21,0.879,0.694,21027,15350,16618,2280,121.2,0.232,0.687,0.031,120.006,0.005
battery-n1000,1000,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,greedy,4,1,per-start,120,16,0,0,31968,0.834,600,8970,9208,10758,58,0.65,163.25,0.21,0.879,0.694,21027,15350,16618,2280,121.21,0.237,0.683,0.029,120.006,0.004
battery-n1000,1000,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,34.7,,,,greedy,5,1,per-start,120,16,0,0,31968,0.834,600,8970,9208,10758,58,0.65,163.25,0.21,0.879,0.694,21027,15350,16618,2280,121.2,0.231,0.683,0.029,120.005,0.004
battery-sparse-n250,250,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,greedy,1,1,per-start,120,6,0,0,16471,0.851,426,7303,7673,8584,0,0.271,24.17,0.354,0.717,0.463,8095,10927,5544,13200,120.12,0.014,0.042,0.004,120.001,0.001
battery-sparse-n250,250,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,greedy,2,1,per-start,120,6,0,0,16471,0.851,426,7303,7673,8584,0,0.271,24.17,0.354,0.717,0.463,8095,10927,5544,13200,120.12,0.014,0.041,0.004,120.001,0.001
battery-sparse-n250,250,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,greedy,3,1,per-start,120,6,0,0,16471,0.851,426,7303,7673,8584,0,0.271,24.17,0.354,0.717,0.463,8095,10927,5544,13200,120.12,0.014,0.042,0.004,120.001,0.001
battery-sparse-n250,250,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,greedy,4,1,per-start,120,6,0,0,16471,0.851,426,7303,7673,8584,0,0.271,24.17,0.354,0.717,0.463,8095,10927,5544,13200,120.1,0.014,0.041,0.004,119.987,0.001
battery-sparse-n250,250,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,85.8,,,,greedy,5,1,per-start,120,6,0,0,16471,0.851,426,7303,7673,8584,0,0.271,24.17,0.354,0.717,0.463,8095,10927,5544,13200,120.12,0.014,0.041,0.004,120.002,0.001
