instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,2,3,total,31,1,0,0,2022,1.0,0,7182,7182,7182,5,0.0,0.0,0.282,0.665,0.478,1634,789,1233,2040,93.04,0.001,0.007,0.031,92.977,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,2,3,total,40,25,0,1,66833,0.839,499,9031,10654,10764,68,0.405,139.44,0.257,0.962,0.714,39777,30823,36010,12720,129.59,0.909,7.961,13.174,106.845,0.028
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,3,3,total,35,2,0,0,8405,0.999,4,7199,7202,7206,8,0.217,15.0,0.583,0.667,0.278,6381,1975,6430,8400,105.16,0.001,0.012,0.034,105.034,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,3,3,total,40,2,0,0,4126,0.832,741,7322,8063,8804,0,0.049,5.0,0.256,0.746,0.556,1666,2601,1525,2400,120.11,0.004,0.037,0.099,119.913,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,3,3,total,40,4,0,0,7884,0.836,572,7460,7748,8927,3,0.161,12.25,0.247,0.738,0.556,4406,4541,3343,4800,120.23,0.016,0.129,0.294,119.703,0.004
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,3,3,total,40,7,0,0,15969,0.919,258,8969,9086,9756,30,0.599,61.43,0.25,0.846,0.635,10451,7314,8655,3720,120.73,0.061,0.513,0.944,119.06,0.008
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,3,3,total,40,12,0,0,21869,0.83,524,8942,9927,10770,67,0.348,56.0,0.186,0.909,0.741,12906,12392,9477,2160,122.53,0.227,1.961,3.453,116.553,0.014
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,3,3,total,40,15,0,0,30318,0.849,520,9101,9972,10725,89,0.478,113.4,0.202,0.928,0.741,19366,15438,14880,1320,123.95,0.371,3.172,5.25,114.763,0.018
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,3,3,total,40,5,0,0,15233,0.977,78,8987,9020,9199,7,0.324,35.6,0.337,0.838,0.556,6823,11132,4101,6000,120.37,0.023,0.215,0.413,119.607,0.004
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,3,3,total,40,9,0,0,23614,0.902,338,9009,9124,9983,35,0.427,79.11,0.282,0.86,0.617,14172,13401,10213,4920,121.04,0.091,0.758,1.465,118.54,0.009
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,3,3,total,40,3,0,0,5017,0.857,514,7246,8156,8455,0,0.042,2.67,0.21,0.736,0.581,2634,3618,1399,2760,120.08,0.013,0.078,0.201,119.707,0.003
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,3,3,total,40,2,0,0,5733,1.0,0,7186,7186,7187,7,0.82,32.5,0.399,0.665,0.4,5202,914,4819,5760,120.06,0.003,0.016,0.065,119.937,0.001
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,3,3,total,31,1,0,0,2042,1.0,0,7202,7202,7202,4,0.0,0.0,0.284,0.667,0.478,1654,789,1253,2040,93.05,0.003,0.008,0.029,92.979,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,3,3,total,40,25,0,0,67206,0.859,434,9240,10655,10757,78,0.386,118.8,0.258,0.963,0.714,40150,30823,36383,11281,129.88,0.937,8.143,13.3,106.713,0.029
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,4,3,total,35,2,0,0,8405,0.999,4,7199,7202,7206,8,0.217,15.0,0.583,0.667,0.278,6381,1975,6430,8400,105.16,0.001,0.011,0.035,105.034,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,4,3,total,40,2,0,0,4262,0.948,217,7914,8131,8348,3,0.017,3.0,0.262,0.753,0.556,1802,2601,1661,2400,120.1,0.004,0.033,0.102,119.907,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,4,3,total,40,4,0,0,8819,0.853,513,7327,8452,8588,4,0.116,11.5,0.269,0.76,0.556,5341,4541,4278,4800,120.22,0.016,0.122,0.288,119.708,0.004
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,4,3,total,40,7,0,0,15650,0.904,304,8886,9000,9826,26,0.523,68.29,0.246,0.842,0.635,10132,7314,8336,4561,120.71,0.059,0.489,0.946,119.069,0.007
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,4,3,total,40,12,0,0,22664,0.837,644,8959,10007,10707,53,0.458,83.0,0.191,0.916,0.741,13701,12392,10272,1800,122.56,0.224,1.998,3.475,116.535,0.013
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,4,3,total,40,15,0,0,30622,0.826,496,8885,10089,10758,90,0.689,99.13,0.203,0.93,0.741,19670,15438,15184,2160,123.92,0.356,3.162,5.24,114.78,0.017
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,4,3,total,40,5,0,0,15321,0.972,92,8951,9068,9211,6,0.257,30.4,0.338,0.839,0.556,6911,11132,4189,6000,120.36,0.021,0.207,0.408,119.6,0.005
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,4,3,total,40,9,0,0,23999,0.901,359,8973,9076,9961,26,0.553,102.22,0.286,0.864,0.617,14557,13401,10598,6000,121.04,0.087,0.753,1.421,118.591,0.009
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,4,3,total,40,3,0,0,4791,0.866,497,7177,8166,8288,0,0.311,19.0,0.203,0.729,0.581,2408,3618,1173,2760,120.06,0.009,0.074,0.212,119.7,0.003
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,4,3,total,40,2,0,0,5733,0.999,2,7184,7186,7189,5,0.292,9.5,0.399,0.665,0.4,5202,914,4819,5760,120.07,0.002,0.02,0.066,119.935,0.001
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,4,3,total,31,1,0,0,2026,1.0,0,7186,7186,7186,9,0.0,0.0,0.282,0.665,0.478,1638,789,1237,2040,93.04,0.002,0.007,0.029,92.979,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,4,3,total,40,25,0,0,65779,0.853,462,9186,10583,10775,70,0.446,99.24,0.254,0.958,0.714,38723,30823,34956,13200,129.71,0.908,8.104,13.328,106.69,0.029
