instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n1000,1000,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,1,1,per-start,120,15,0,0,0,25877,0.662,0.789,950,6990,9886,10552,42,32,0.46,66.4,0.177,0.9,0.741,14925,15438,10439,3120,121.18,0.242,0.651,1.143,118.859,0.004,0.0
battery-n1000,1000,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,2,1,per-start,120,14,0,0,0,24873,0.882,0.936,337,9417,10482,10671,47,53,0.57,77.14,0.172,0.958,0.794,13910,15529,9344,0,121.14,0.25,0.642,1.106,118.897,0.004,0.0
battery-n1000,1000,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,3,1,per-start,120,15,0,0,0,24685,0.607,0.766,1052,6414,9986,10569,63,61,0.51,43.27,0.171,0.893,0.741,13733,15438,9247,2760,121.14,0.242,0.639,1.135,118.868,0.004,0.0
battery-sparse-n250,250,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,1,1,per-start,120,5,0,0,0,14694,0.676,0.69,1531,6999,9936,10355,10,3,0.17,10.2,0.329,0.828,0.556,6284,11132,3562,6120,120.15,0.016,0.048,0.094,119.933,0.001,0.0
battery-sparse-n250,250,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,2,1,per-start,120,5,0,0,0,14030,0.636,0.77,1297,6733,9092,10590,7,5,0.06,4.2,0.319,0.815,0.556,5620,11132,2898,6000,120.12,0.015,0.043,0.089,119.912,0.001,0.0
battery-sparse-n250,250,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,11,,,0,0,True,0.0,85.8,1,,,,,3,1,per-start,120,5,0,0,0,14570,0.686,0.929,1113,6733,9407,9808,2,4,0.56,16.8,0.327,0.825,0.556,6160,11132,3438,6000,120.12,0.015,0.044,0.089,119.912,0.001,0.0
battery-sparse-n500,500,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,1,1,per-start,120,8,0,0,0,19166,0.871,0.898,449,9092,9886,10443,15,6,0.26,34.25,0.242,0.916,0.694,9704,13517,5649,600,120.4,0.061,0.161,0.319,119.743,0.002,0.0
battery-sparse-n500,500,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,2,1,per-start,120,8,0,0,0,19973,0.887,0.92,388,9241,10090,10424,14,9,0.22,30.62,0.25,0.926,0.694,10511,13517,6456,480,120.37,0.061,0.166,0.328,119.68,0.002,0.0
battery-sparse-n500,500,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,15,,,0,0,True,0.0,56.9,1,,,,,3,1,per-start,120,8,0,0,0,20150,0.909,0.916,301,9621,10016,10585,25,7,0.47,32.88,0.251,0.927,0.694,10688,13517,6633,720,120.34,0.063,0.158,0.316,119.686,0.002,0.0
area-26-n157,157,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,1,1,per-start,120,3,0,0,0,4276,0.78,0.836,824,6894,7387,8835,3,3,0.03,3.67,0.185,0.713,0.581,1893,3618,658,2760,120.06,0.006,0.016,0.044,119.956,0.001,0.0
area-26-n157,157,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,2,1,per-start,120,3,0,0,0,4322,0.824,0.946,614,6892,7909,8361,2,5,0.05,4.0,0.187,0.715,0.581,1939,3618,704,2760,120.06,0.007,0.016,0.044,119.956,0.001,0.0
area-26-n157,157,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,48.1,1,,,,,3,1,per-start,120,3,0,0,0,4211,0.788,0.843,788,6901,7388,8762,2,4,0.03,3.67,0.183,0.711,0.581,1828,3618,593,2760,120.02,0.006,0.016,0.044,119.923,0.001,0.0
area-27-n72,72,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,1,1,per-start,120,1,0,0,0,1470,1.0,1.0,0,10110,10110,10110,1,1,0.0,0.0,0.145,0.936,0.8,931,1303,167,0,120.03,0.002,0.004,0.016,119.984,0.0,0.0
area-27-n72,72,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,2,1,per-start,120,1,0,0,0,1425,1.0,1.0,0,10065,10065,10065,3,4,0.0,0.0,0.142,0.932,0.8,886,1303,122,0,120.03,0.002,0.007,0.016,119.984,0.0,0.0
area-27-n72,72,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,29.8,1,,,,,3,1,per-start,120,1,0,0,0,1456,1.0,1.0,0,10096,10096,10096,1,1,0.0,0.0,0.144,0.935,0.8,917,1303,153,0,120.03,0.002,0.004,0.016,119.983,0.0,0.0
area-29-n43,43,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,1,1,per-start,94,1,0,0,0,956,1.0,1.0,0,6116,6116,6116,5,1,0.0,0.0,0.156,0.566,0.478,568,789,167,2040,94.02,0.001,0.002,0.007,93.994,0.0,0.0
area-29-n43,43,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,2,1,per-start,94,1,0,0,0,956,1.0,1.0,0,6116,6116,6116,5,1,0.0,0.0,0.156,0.566,0.478,568,789,167,2040,94.01,0.001,0.002,0.007,93.991,0.0,0.0
area-29-n43,43,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,6,,,0,0,True,0.0,27.6,1,,,,,3,1,per-start,94,1,0,0,0,956,1.0,1.0,0,6116,6116,6116,5,1,0.0,0.0,0.156,0.566,0.478,568,789,167,2040,94.02,0.002,0.002,0.007,93.993,0.0,0.0
reference-n1607,1607,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,1,1,per-start,120,25,0,1,1,52784,0.011,0.89,2011,120,10340,10665,39,49,0.39,105.44,0.215,0.91,0.714,25728,30823,21961,12000,122.81,0.68,1.704,2.745,117.258,0.006,0.0
reference-n1607,1607,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,2,1,per-start,120,25,0,1,1,52091,0.011,0.727,2075,120,10397,10756,46,47,0.38,69.8,0.213,0.907,0.714,25035,30823,21268,12000,122.83,0.724,1.709,2.865,117.124,0.007,0.0
reference-n1607,1607,config,no-floor-stops15,spatial_term,no-floor-stops15,10000,midpoint,0,3,10000,,36,,,0,0,True,0.0,44.1,1,,,,,3,1,per-start,120,25,0,1,1,50430,0.011,0.794,2038,120,10258,10743,35,21,0.45,75.92,0.207,0.901,0.714,23374,30823,19607,9720,122.73,0.636,1.687,2.753,117.248,0.006,0.0
