source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
sweep-metrology-20260720-h2h-actual.csv,reference-n1607,1607,actual,3,25,60042,32986,30823,29219,39695,20347
sweep-metrology-20260720-h2h-actual.csv,reference-n1607,1607,actual,4,25,58253,31197,30823,27430,39695,18558
sweep-metrology-20260720-h2h-actual.csv,reference-n1607,1607,actual,5,25,60702,33646,30823,29879,39695,21007
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n50,50,feasible-floor-b095,1,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n50,50,feasible-floor-b095,2,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n50,50,feasible-floor-b095,3,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n50,50,feasible-floor-b095,4,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n50,50,feasible-floor-b095,5,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n100,100,feasible-floor-b095,1,2,4291,1831,2601,1690,3239,1052
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n100,100,feasible-floor-b095,2,2,4292,1832,2601,1691,3239,1053
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n100,100,feasible-floor-b095,3,2,4295,1835,2601,1694,3239,1056
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n100,100,feasible-floor-b095,4,2,4173,1713,2601,1572,3239,934
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n100,100,feasible-floor-b095,5,2,4328,1868,2601,1727,3239,1089
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n200,200,feasible-floor-b095,1,4,7887,4409,4541,3346,6202,1685
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n200,200,feasible-floor-b095,2,4,8026,4548,4541,3485,6202,1824
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n200,200,feasible-floor-b095,3,4,8137,4659,4541,3596,6202,1935
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n200,200,feasible-floor-b095,4,4,8542,5064,4541,4001,6202,2340
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n200,200,feasible-floor-b095,5,4,8072,4594,4541,3531,6202,1870
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n400,400,feasible-floor-b095,1,6,13066,7534,7477,5589,10303,2763
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n400,400,feasible-floor-b095,2,6,12871,7339,7477,5394,10303,2568
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n400,400,feasible-floor-b095,3,6,13451,7919,7477,5974,10303,3148
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n400,400,feasible-floor-b095,4,6,13244,7712,7477,5767,10303,2941
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n400,400,feasible-floor-b095,5,6,12757,7225,7477,5280,10303,2454
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n800,800,feasible-floor-b095,1,12,22531,13568,12392,10139,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n800,800,feasible-floor-b095,2,12,22532,13569,12392,10140,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n800,800,feasible-floor-b095,3,12,21237,12274,12392,8845,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n800,800,feasible-floor-b095,4,12,23167,14204,12392,10775,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n800,800,feasible-floor-b095,5,12,24545,15582,12392,12153,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n1000,1000,feasible-floor-b095,1,15,26589,15637,15438,11151,,
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,battery-n1000,1000,feasible-floor-b095,2,14,28162,17199,15529,12633,,
