source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled+exempt-last,2,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,tmin-scaled+exempt-last,3,5,7728,4268,4404,3324
route-config-algorithm-sweep-20260718.csv,battery-n200,200,span-c100,1,4,7168,3690,4541,2627
route-config-algorithm-sweep-20260718.csv,battery-n200,200,span-c100,2,4,7168,3690,4541,2627
route-config-algorithm-sweep-20260718.csv,battery-n200,200,span-c100,3,4,7168,3690,4541,2627
route-config-algorithm-sweep-20260718.csv,battery-n200,200,global,1,4,7029,3551,4541,2488
route-config-algorithm-sweep-20260718.csv,battery-n200,200,global,2,4,7029,3551,4541,2488
route-config-algorithm-sweep-20260718.csv,battery-n200,200,global,3,4,7029,3551,4541,2488
route-config-algorithm-sweep-20260718.csv,battery-n200,200,greedy,1,4,8842,5364,4541,4301
route-config-algorithm-sweep-20260718.csv,battery-n200,200,greedy,2,4,8842,5364,4541,4301
route-config-algorithm-sweep-20260718.csv,battery-n200,200,greedy,3,4,8842,5364,4541,4301
route-config-algorithm-sweep-20260718.csv,battery-n400,400,actual,1,7,14557,9039,7314,7243
route-config-algorithm-sweep-20260718.csv,battery-n400,400,actual,2,7,14557,9039,7314,7243
route-config-algorithm-sweep-20260718.csv,battery-n400,400,actual,3,7,14557,9039,7314,7243
route-config-algorithm-sweep-20260718.csv,battery-n400,400,upper-tmax-tmin9000,1,6,13730,8198,7477,6253
route-config-algorithm-sweep-20260718.csv,battery-n400,400,upper-tmax-tmin9000,2,6,13730,8198,7477,6253
route-config-algorithm-sweep-20260718.csv,battery-n400,400,upper-tmax-tmin9000,3,6,13730,8198,7477,6253
route-config-algorithm-sweep-20260718.csv,battery-n400,400,tmin-scaled,1,10,11992,6517,6973,5019
route-config-algorithm-sweep-20260718.csv,battery-n400,400,tmin-scaled,2,10,11992,6517,6973,5019
route-config-algorithm-sweep-20260718.csv,battery-n400,400,tmin-scaled,3,10,11992,6517,6973,5019
route-config-algorithm-sweep-20260718.csv,battery-n400,400,service-floor,1,8,12916,7413,7178,5738
route-config-algorithm-sweep-20260718.csv,battery-n400,400,service-floor,2,8,12916,7413,7178,5738
route-config-algorithm-sweep-20260718.csv,battery-n400,400,service-floor,3,8,12916,7413,7178,5738
route-config-algorithm-sweep-20260718.csv,battery-n400,400,tmin-scaled+exempt-last,1,10,11992,6517,6973,5019
route-config-algorithm-sweep-20260718.csv,battery-n400,400,tmin-scaled+exempt-last,2,10,11992,6517,6973,5019
route-config-algorithm-sweep-20260718.csv,battery-n400,400,tmin-scaled+exempt-last,3,10,11992,6517,6973,5019
route-config-algorithm-sweep-20260718.csv,battery-n400,400,span-c100,1,6,11330,5798,7477,3853
route-config-algorithm-sweep-20260718.csv,battery-n400,400,span-c100,2,6,11330,5798,7477,3853
route-config-algorithm-sweep-20260718.csv,battery-n400,400,span-c100,3,6,11330,5798,7477,3853
route-config-algorithm-sweep-20260718.csv,battery-n400,400,global,1,7,11640,6122,7314,4326
route-config-algorithm-sweep-20260718.csv,battery-n400,400,global,2,7,11640,6122,7314,4326
route-config-algorithm-sweep-20260718.csv,battery-n400,400,global,3,7,11640,6122,7314,4326
route-config-algorithm-sweep-20260718.csv,battery-n400,400,greedy,1,6,14388,8856,7477,6911
route-config-algorithm-sweep-20260718.csv,battery-n400,400,greedy,2,6,14388,8856,7477,6911
route-config-algorithm-sweep-20260718.csv,battery-n400,400,greedy,3,6,14388,8856,7477,6911
route-config-algorithm-sweep-20260718.csv,battery-n800,800,actual,1,12,19725,10762,12392,7333
route-config-algorithm-sweep-20260718.csv,battery-n800,800,actual,2,12,19767,10804,12392,7375
route-config-algorithm-sweep-20260718.csv,battery-n800,800,actual,3,12,19719,10756,12392,7327
route-config-algorithm-sweep-20260718.csv,battery-n800,800,upper-tmax-tmin9000,1,12,22400,13437,12392,10008
route-config-algorithm-sweep-20260718.csv,battery-n800,800,upper-tmax-tmin9000,2,12,22400,13437,12392,10008
route-config-algorithm-sweep-20260718.csv,battery-n800,800,upper-tmax-tmin9000,3,12,22400,13437,12392,10008
route-config-algorithm-sweep-20260718.csv,battery-n800,800,tmin-scaled,1,14,25532,16592,12208,13324
route-config-algorithm-sweep-20260718.csv,battery-n800,800,tmin-scaled,2,14,25664,16724,12208,13456
route-config-algorithm-sweep-20260718.csv,battery-n800,800,tmin-scaled,3,14,25664,16724,12208,13456
route-config-algorithm-sweep-20260718.csv,battery-n800,800,service-floor,1,15,22116,13188,12116,10000
route-config-algorithm-sweep-20260718.csv,battery-n800,800,service-floor,2,15,22116,13188,12116,10000
route-config-algorithm-sweep-20260718.csv,battery-n800,800,service-floor,3,15,22116,13188,12116,10000
route-config-algorithm-sweep-20260718.csv,battery-n800,800,tmin-scaled+exempt-last,1,14,25532,16592,12208,13324
route-config-algorithm-sweep-20260718.csv,battery-n800,800,tmin-scaled+exempt-last,2,14,25532,16592,12208,13324
route-config-algorithm-sweep-20260718.csv,battery-n800,800,tmin-scaled+exempt-last,3,14,25608,16668,12208,13400
route-config-algorithm-sweep-20260718.csv,battery-n800,800,span-c100,1,12,20111,11148,12392,7719
route-config-algorithm-sweep-20260718.csv,battery-n800,800,span-c100,2,12,20111,11148,12392,7719
route-config-algorithm-sweep-20260718.csv,battery-n800,800,span-c100,3,12,20111,11148,12392,7719
route-config-algorithm-sweep-20260718.csv,battery-n800,800,global,1,12,20330,11367,12392,7938
route-config-algorithm-sweep-20260718.csv,battery-n800,800,global,2,12,20324,11361,12392,7932
route-config-algorithm-sweep-20260718.csv,battery-n800,800,global,3,12,20330,11367,12392,7938
route-config-algorithm-sweep-20260718.csv,battery-n800,800,greedy,1,12,23728,14765,12392,11336
route-config-algorithm-sweep-20260718.csv,battery-n800,800,greedy,2,12,23728,14765,12392,11336
