instance,n,strategy,seed,k,drops,travel_sec,balance,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,route_time_mean_sec,route_time_std_sec,routes_over_t_max
reference-n1607,1607,spatial_term,42,25,0,59649.40000000001,0.8395770787103511,45,0.62,136.0,0.236,0.935,10100,555,0
reference-n1607,1607,spatial_term,43,25,0,56640.1,0.8373289107121228,63,0.53,84.68,0.227,0.924,9979,502,0
reference-n1607,1607,spatial_term,44,25,0,58692.70000000001,0.829004228428047,58,0.44,122.2,0.233,0.932,10061,621,0
