instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,2,3,per-start,120,3,0,0,4260,0.794,761,6937,7425,8738,0,0.034,3.67,0.184,0.713,0.581,1877,3618,642,2760,359.99,0.01,0.102,0.249,359.507,0.013
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,2,3,per-start,120,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,360.06,0.002,0.017,0.064,359.937,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,2,3,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,282.03,0.001,0.007,0.03,281.971,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,2,3,per-start,120,25,0,0,61998,0.798,605,8592,10454,10765,17,0.373,68.48,0.243,0.944,0.714,34942,30823,31175,9840,369.98,1.022,8.114,13.258,346.742,0.031
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,3,3,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,315.1,0.003,0.012,0.036,314.964,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,3,3,per-start,120,2,0,0,4256,0.652,1713,6415,8128,9841,0,0.03,5.0,0.262,0.752,0.556,1796,2601,1655,2400,360.09,0.004,0.036,0.1,359.901,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,3,3,per-start,120,4,0,0,8098,0.662,1319,6600,7766,9966,2,0.051,3.5,0.252,0.743,0.556,4620,4541,3557,4800,360.15,0.015,0.129,0.282,359.642,0.003
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,3,3,per-start,120,6,0,0,12791,0.824,722,8837,10556,10727,2,0.518,24.5,0.21,0.938,0.741,7259,7477,5314,1080,360.74,0.061,0.51,0.969,359.031,0.007
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,3,3,per-start,120,12,0,0,21512,0.689,937,7372,10096,10706,7,0.308,48.67,0.183,0.907,0.741,12549,12392,9120,2280,260.32,0.225,2.025,3.563,254.173,0.013
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,3,3,per-start,120,15,0,0,26862,0.691,960,7443,10064,10766,10,0.424,53.73,0.183,0.907,0.741,15910,15438,11424,1440,210.93,0.327,3.345,5.235,201.627,0.018
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,3,3,per-start,120,5,0,0,15904,0.711,1035,7438,9247,10467,0,0.421,20.0,0.346,0.85,0.556,7494,11132,4772,6002,360.39,0.024,0.183,0.384,359.68,0.005
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,3,3,per-start,120,8,0,0,22076,0.869,483,9331,10443,10737,5,0.104,27.5,0.269,0.95,0.694,12614,13517,8559,840,298.17,0.079,0.764,1.376,295.76,0.009
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,3,3,per-start,120,3,0,0,4313,0.8,743,6990,7425,8738,0,0.034,3.67,0.186,0.715,0.581,1930,3618,695,2760,360.02,0.009,0.107,0.255,359.522,0.012
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,3,3,per-start,120,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,360.06,0.002,0.015,0.06,359.943,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,3,3,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,282.04,0.003,0.007,0.028,281.973,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,3,3,per-start,120,25,0,1,59067,0.718,909,7736,10449,10770,18,0.43,76.92,0.234,0.933,0.714,32011,30823,28244,9960,370.15,0.973,8.318,12.974,347.024,0.03
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,4,3,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,315.09,0.002,0.013,0.037,314.963,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,4,3,per-start,120,2,0,0,4256,0.652,1713,6415,8128,9841,0,0.03,5.0,0.262,0.752,0.556,1796,2601,1655,2400,360.1,0.004,0.033,0.099,359.916,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,4,3,per-start,120,4,0,0,7837,0.777,775,6669,8290,8588,2,0.065,6.5,0.246,0.737,0.556,4359,4541,3296,4800,360.14,0.013,0.119,0.288,359.638,0.004
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,4,3,per-start,120,6,0,0,12906,0.822,643,8837,10234,10757,4,0.365,48.0,0.212,0.94,0.741,7374,7477,5429,960,360.72,0.054,0.482,0.986,359.013,0.007
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,4,3,per-start,120,12,0,0,21957,0.737,898,7878,10182,10695,6,0.605,51.75,0.186,0.91,0.741,12994,12392,9565,1680,260.35,0.224,1.989,3.565,254.239,0.014
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,4,3,per-start,120,15,0,0,27753,0.74,827,7940,10133,10731,8,0.381,69.4,0.188,0.912,0.741,16801,15438,12315,1920,210.84,0.335,3.313,5.339,201.483,0.016
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,4,3,per-start,120,5,0,0,15734,0.582,1549,6148,9622,10570,1,0.097,9.4,0.344,0.847,0.556,7324,11132,4602,6000,360.41,0.019,0.184,0.389,359.674,0.004
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,4,3,per-start,120,8,0,0,20687,0.875,365,9411,10035,10752,2,0.199,23.88,0.256,0.934,0.694,11225,13517,7170,1200,298.29,0.079,0.762,1.416,295.824,0.01
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,4,3,per-start,120,3,0,0,4250,0.793,764,6926,7426,8738,0,0.034,3.67,0.184,0.713,0.581,1867,3618,632,2760,360.01,0.015,0.11,0.281,359.489,0.004
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,4,3,per-start,120,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,360.06,0.002,0.017,0.067,359.935,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,4,3,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,282.04,0.002,0.008,0.038,281.965,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,4,3,per-start,120,25,0,1,60712,0.628,979,6759,10534,10760,25,0.459,70.36,0.239,0.939,0.714,33656,30823,29889,12960,370.07,1.026,8.183,13.068,346.932,0.031
battery-n50,50,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,112.6,5,3,per-start,105,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,2746,673,1200,315.1,0.004,0.013,0.037,314.963,0.001
battery-n100,100,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,67.3,5,3,per-start,120,2,0,0,4218,0.648,1735,6374,8109,9844,3,0.03,5.0,0.26,0.75,0.556,1758,2601,1617,2400,360.1,0.004,0.031,0.093,359.908,0.002
battery-n200,200,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,59.0,5,3,per-start,120,4,0,0,8088,0.81,713,7207,7990,8902,2,0.074,4.25,0.252,0.742,0.556,4610,4541,3547,4800,360.15,0.016,0.121,0.298,359.628,0.003
battery-n400,400,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,46.7,5,3,per-start,120,6,0,0,12499,0.833,593,8837,10239,10614,5,0.101,7.67,0.207,0.934,0.741,6967,7477,5022,960,360.71,0.054,0.489,0.988,359.013,0.007
battery-n800,800,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,35.4,5,3,per-start,120,12,0,0,21762,0.623,1232,6708,10350,10759,7,0.342,57.67,0.185,0.909,0.741,12799,12392,9370,2880,260.34,0.221,2.02,3.551,254.215,0.014
battery-n1000,1000,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,34.7,5,3,per-start,120,15,0,0,26300,0.66,1047,7107,9980,10772,9,0.613,44.2,0.18,0.903,0.741,15348,15438,10862,2520,210.91,0.331,3.318,5.465,201.399,0.019
battery-sparse-n250,250,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,85.8,5,3,per-start,120,5,0,0,15231,0.592,1609,6312,9716,10655,0,0.116,15.4,0.337,0.838,0.556,6821,11132,4099,6001,360.39,0.019,0.178,0.397,359.666,0.004
battery-sparse-n500,500,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,56.9,5,3,per-start,120,8,0,0,21313,0.741,901,7982,10567,10767,4,0.519,34.0,0.262,0.941,0.694,11851,13517,7796,1800,298.21,0.085,0.77,1.412,295.749,0.009
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,48.1,5,3,per-start,120,3,0,0,4419,0.838,572,6970,7967,8322,0,0.048,4.0,0.19,0.718,0.581,2036,3618,801,2760,360.04,0.008,0.119,0.352,359.454,0.006
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,29.8,5,3,per-start,120,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,360.06,0.002,0.016,0.065,359.937,0.002
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,27.6,5,3,per-start,94,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,282.05,0.002,0.011,0.028,281.974,0.001
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,,0,False,0.0,44.1,5,3,per-start,120,25,0,1,63187,0.629,1019,6769,10609,10765,32,0.379,74.4,0.247,0.948,0.714,36131,30823,32364,12120,369.94,0.929,8.132,13.141,346.858,0.04
