config_preset,strategy,times_recommended,times_strict_winner,times_near_winner_not_winner,datasets_appearing,mean_travel_delta_pct_vs_control,mean_balance_delta_vs_control,in_production_fanout
arc_linear_30,cluster_first,2,2,1,16,0.92,-0.213,False
arc_linear_30,global,1,1,8,16,-6.43,-0.001,True
arc_linear_30,spatial_term,3,3,5,16,-3.82,0.005,True
default,cluster_first,0,0,0,16,0.01,-0.235,False
default,global,4,4,6,16,-6.13,-0.012,True
default,spatial_term,1,1,0,16,,,True
temporal_span_100,cluster_first,0,0,3,16,-3.56,-0.218,False
temporal_span_100,global,3,3,3,16,-4.94,-0.0,True
temporal_span_100,spatial_term,2,2,6,16,-4.38,0.006,True
